NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC,...58,...59
Pseudognaphalium obtusifolium,ASTERACEAE,PSOB3,10-Nov-17,NEWFS-898,898,NEWFS,NA,"Kang, K.; Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),Rhode Island,Newport,Goosewing Beach Preserve,Quicksand Pond,"From Boston, head south on 93. Take exit 4 for MA-24-S. Drive for 35+ miles and briefly merge onto I-95-E. Take exit 10 for MA-88 and follow MA-88 for about 7 miles. Turn right onto Hixbridge Rd, turn right onto Main Rd, turn left onto Adamsville Rd and enter Rhode Island. Follow for about 4 miles then turn left onto Long Hwy. After about 3 miles, turn left onto South Shore Rd and follow to the end to find the beach parking, actually located on South Shore Beach. Drive to the end of the beach and park. Follow through the meadow toward the sand trail. The population is located near the front of the salt marsh area toward the left.","41∞29' 42.8"" N","71∞08' 05.3"" W",41.49522,-71.1348,GPS,NAD83,2,FT,TNC,Pluchea odorata:Hibiscus moscheutos:Euthamia graminifolia:Solidago sempervirens,Flooded,Brackish wetland/dunes,NA,NA,Brackish wetland/dunes,Conservation/recreation,Granite,"Clay, Sand",51 plants sampled,70,1,P,"˚bright white bulb opens into inflorescence, leaves velvety, greyish and asymmetrical˚",NA,M. Piantedosi - NEWFS:In Field:10 NOV 2017,2:10 NOV 2017:Smithsonian :New England Wild Flower Society,NA,NA,NA,NA,1,267,WEB,1,"7.5 YR 2.5/2 ""very dark brown""",19-Dec-17,PSEUDOGNAPHALIUM,obtusifolium,2017,NA,NA,NA
Rhus copallinum,ANACARDIACEAE,RHCO,14-Nov-17,NEWFS-908,908,NEWFS,NA,"Cecil, A.; Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),Rhode Island,NA,Quonochontaug Boat Ramp,Roadside,"From Boston, take 93-S to 95-S past Providence and Warwick to RI-4 S. RI-4 becomes US-1 S in Kingstown. After about 22 miles on US-1 S, turn right onto Old Post Rd to facilitate taking a left onto W Beach Rd. Follow the road, hugging and curving right all the way to the boat ramp. The population can be found along the road.","41∞20' 02.1"" N","71∞43' 07"" W",41.33391,-71.71861,GPS,NAD83,3,FT,State of Rhode Island,Baccharis halimifolia:Iva frutescens:Phragmites australis:Eragrostis spectabilis:Toxicodendron radicans,NA,Salt marsh/anthropogenic,NA,NA,Salt marsh/anthropogenic,Conservation/recreation,Granite,"Clay, Sand",51 plants sampled,70,2,P,"˚winged rachis, fruits exude sticky sap that may cause numbness when exposed to bare skin˚",NA,M. Piantedosi - NEWFS:In Field:14 NOV 2017,2:14 NOV 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,277,WEB,6-Apr,"7.5 YR 3/2 ""black""",19-Dec-17,RHUS,copallinum,2017,NA,NA,NA
Decodon verticillatus,LYTHRACEAE,DEVE,20-Sep-16,NCBG-532,532,NCBG,NA,"Dakar, J., Faucette, A., Flood, M., Walker, S.",US,63,Middle Atlantic Coastal Plains (Omernik),Maryland,Caroline,Tuckahoe State Park,Tuckahoe Creek/Lake Tuckahoe,"From Lake Tuckahoe parking area, go to kayak launch, kayak to the right following route toward Tuckahoe Creek. Population on both sides.","38∞58' 9.8"" N","75∞56' 19.6"" W",38.96938,-75.93877,GPS,NAD83,15,FT,MD DNR,Hibiscus moscheutos:Leersia oryzoides:Rosa palustris:Salix nigra:Cornus amomum:Lobelia cardinalis:Saururus cernuus,NA,Swamp,0-2,NA,Buttonbush-hibiscus shrub swamp,Conservation and Recreation,"Fine-silty, mixed, active, nonacid, mesic typic hydraquents",Other : Silt loam,50 plants sampled,1000+,7,P,NA,NA,J. Dakar - NCBG:In Field:20 SEP 2016,"2:20 SEP 2016:NCU, US",NA,NA,5-Oct-16,NA,1,ALF-534,WEB,6-May,5 YR 2.5/2,12-Dec-16,DECODON,verticillatus,2016,NA,NA,NA
Panicum amarum,POACEAE,PAAM2,28-Sep-16,NCBG-560,560,NCBG,NA,"Healy, C., Walker, S., Flood, M.",US,63,Middle Atlantic Coastal Plains (Omernik),Virginia,Virginia Beach,First Landing State Park,Dunes by Visitor's Center,"From VA Beach, take Atlantic Ave 7.4 miles, turn right into Park, then left to Visitor's Center. Population is along dunes to right of Visitor's Center, after boardwalk.","36∞55' 12.0"" N","76∞03' 12.0"" W",36.92,-76.05333,GPS,WGS84,0,FT,VA DNR,Cenchrus tribuloides:Uniola paniculata:Ammophila breviligulata:Solidago sempervirens:Schizachyrium scoparium,NA,Dune,0-2,NA,South Atlantic Loamy Coastal Dunegrass,Conservation/Recreation,"Thermic, Uncoated Typic Quartzipsamments",Other : Fine Sand,80 plants sampled,600,2,P,NA,NA,C. Healy-NCBG:In Field:28 SEP 2016,"2:28 SEP 2016:NCU, US",NA,NA,NA,NA,1,CH-10,WEB,5-Mar,10 YR 5/2,13-Dec-16,PANICUM,amarum,2016,NA,NA,NA
Triadenum virginicum,CLUSIACEAE,TRVI2,3-Oct-16,NCBG-559,559,NCBG,NA,"Dakar, J., Faucette, A.",US,65,Southeastern Plains (Omernik),Maryland,Anne Arundel,Patuxent Research Refuge,New Marsh,"From visitor center, turn right at T, continue on Wildlife Loop for 5 miles. Population around second pond.","39∞3' 28.9"" N","76∞44' 29.2"" W",39.05802,-76.74144,GPS,NAD83,84,FT,USFWS,Hypericum sp.:Spiranthes sp.:Rhexia mariana:Rhexia virginica:Agalinis purpurea:Fimbristylis autumnalis:Xyris difformis,NA,Pond,0-2,NA,Freshwater pond,Conservation and Recreation,"Fine-loamy, mixed, active, mesic typic endoaquults",Other : Sandy loam,93 plants sampled,500,2,P,NA,NA,A. Faucette - NCBG:In Field:03 OCT 2016,"2:03 OCT 2016:NCU, US",NA,NA,NA,NA,1,JD-192,WEB,2+,10 YR 3/2,13-Dec-16,TRIADENUM,virginicum,2016,NA,NA,NA
Schoenoplectus tabernaemontani,CYPERACEAE,SCTA2,29-Aug-17,NEWFS-691,691,NEWFS,NA,"Cecil, A.; Estevez, C.; Kang, K.;Tokarz, E.",US,59,Northeastern Coastal Zone (Omernik),Rhode Island,Newport,Goosewing Beach Preserve,Quicksand Pond,"From Boston, head south on 93. Take exit 4 for MA-24-S. Drive for 35+ miles and briefly merge onto I-95-E. Take exit 10 for MA-88 and follow MA-88 for about 7 miles. Turn right onto Hixbridge Rd, turn right onto Main Rd, turn left onto Adamsville Rd and enter Rhode Island. Follow for about 4 miles then turn left onto Long Hwy. After about 3 miles, turn left onto South Shore Rd and follow to the end to find the beach parking, actually located on South Shore Beach. Drive to the end of the beach and park. Follow through the meadow toward the sand trail. Turn left to head toward the salt marsh area. The population is along the back shore.","41∞29' 42.8"" N","71∞08' 05.3"" W",41.49522,-71.1348,GPS,NAD83,4,FT,TNC,Bolboschoenus maritimus:Schoenoplectus americanus:Pluchea odorata:Ammophila breviligulata:Morella caroliniensis:Cyperus sp.,Flooded,brackish wetland,NA,NA,brackish wetland,Conservation; Recreation,Granite,"Clay, Sand",657 plants sampled,5000+,2,P,"Stems fleshy, easily compressed. Inflorescence/seed heads nodding and terminal, sometimes apparently surpassed by involucral bract˚",NA,M. Piantedosi - NEWFS:In Field:29 AUG 2017,2:29 AUG 2017:Smithsonian:New England Wild Flower Society,NA,NA,NA,NA,1,60,WEB,5-Apr,"7.5 YR 2.5/2 ""very dark brown""",7-Dec-17,SCHOENOPLECTUS,tabernaemontani,2017,NA,NA,NA
Carex crinita,CYPERACEAE,CACR6,1-Sep-17,NEWFS-701,701,NEWFS,NA,"Tokarz, E.; Cecil, A.; Kang, K.",US,58,Northeastern Highlands (Omernik),Massachusetts,Hampshire,"Guyette Farm, Plainfield",Guyette meadow,"Take 91 north to Exit 19; follow signs to Route 9 towards Northampton/Amherst, navigate west/northwest through Northampton (Damon Rd, Bridge Rd, Main St); Follow Route 9 west for about 12 miles; Turn right onto Shaw Road, left onto Stage Road, stay on this for about 2 miles, right onto Nash Road (this will change names to South St), at T-intersection turn left onto Gloyd St; park at the 1st dirt parking lot on your left (there is now a big sign that says Guyette Farm on the left); plant population is in a meadow a little less than a mile down the trail through the woods.","42∞29' 8.3"" N","72∞53' 42.8"" W",42.48563,-72.89522,GPS,NAD83,1263,FT,Franklin Land Trusr,Solidago sp.:Carex scoparia var. scoparia:Juncus effusus:Carex lurida:Populus tremuloides,Mowed,wet meadow,5,NE,wet meadow,conservation/recreation,Quartzite,"Clay, Silt",315,1000+,2,P,"Sharp pointed perigynia that will prick upon contact in a spike about 2-4"" long, dangling in groups of 1-5 from stem on long peduncle.",NA,M. Piantedosi - NEWFS:In Field:01 SEP 2017,1:01 SEP 2017:Smithsonian,NA,NA,NA,NA,1,70,WEB,3-Jan,"7.5 YR 3/4 ""dark brown""",7-Dec-17,CAREX,crinita,2017,NA,NA,NA
Uniola paniculata,POACEAE,UNPA,9-Oct-17,NCBG-740,740,NCBG,NA,"Dakar, J., Healy, C., Faucette, A.",US,63,Middle Atlantic Coastal Plains (Omernik),Virginia,Virginia Beach,First Landing State Park,Beach,"From Visitor Center, walk to beach. Population on dunes.","36∞55' 12.5"" N","76∞3' 9.9"" W",36.92013,-76.05275,GPS,NAD83,14,FT,VA DCR,Strophostyles helvola:Ammophila breviligulata:Iva imbricata:Cenchrus tribuloides:Campsis radicans:Schizachyrium littorale,NA,Dune,0-15,"N, NE, E, SE, S, SW, W, NW",Dunes,Conservation/Recreation,"Thermic, uncoated typic quartzipsamments",Sand,100 plants sampled,300+,3,P,NA,NA,"A. Faucette, NCBG:In Field:09 OCT 2017","2:09 OCT 2017:NCU, US",NA,NA,NA,NA,1,ALF-613,WEB,8-May,10 YR 5/2,4-Dec-17,UNIOLA,paniculata,2017,NA,NA,NA
Schoenoplectus americanus,CYPERACEAE,SCAM6,26-Sep-17,NEWFS-733,732,NEWFS,NA,"Tokarz, E.; Kang, K.",US,84,Atlantic Coastal Pine Barrens (Omernik),Massachusetts,Barnstable,Long Pasture Wildlife Sanctuary,Behind low dunes east of beach boardwalk,From Boston take 93S to MA3. Follow MA-3 and US-6 to Willow Ave in Yarmouth. Take exit 7 and turn left onto Main St. Turn right onto Bone Hill Rd and the sanctuary is on the left. Walk past visitor center to Salt Marsh boardwalk. Population should be in the back beach to the east of the walk.,"41∞42' 32.7"" N","70∞16' 29.8"" W",41.70908,-70.27494,GPS,NAD83,7,FT,Mass. Audubon,Bolboschoenus maritimus:Hibiscus moscheutos:Spartina pectinata,Flooded,Brackish wetland,NA,NA,Brackish wetland,Conservation/recreation,Granite,"Silt, Sand",308 plants sampled,500+,1,P,inflorescence appears to branch out from the side of a long stem-like bract which rises above it; stem has concave sides with winged edges˚,NA,M. Piantedosi - NEWFS:In Field:26 SEP 2017,1:26 SEP 2017:Smithsonian,NA,NA,NA,NA,1,102,WEB,2-Jan,"7.5 YR 3/2 ""Black""",19-Dec-17,SCHOENOPLECTUS,americanus,2017,NA,NA,NA
Iva frutescens,ASTERACEAE,IVFR,10-Oct-17,NCBG-743,743,NCBG,NA,"Dakar, J., Faucette, A., Healy, C.",US,63,Middle Atlantic Coastal Plains (Omernik),Virginia,Northampton,Brownsville Preserve,Saltmarsh Overlook,"From Visitor's Center turn right onto Brownsville Rd. Make 1st right, right at T, continue along road to saltmarsh overlook. Population at overlook","37∞27' 25.7"" N","75∞49' 43.9"" W",37.45713,-75.82886,GPS,NAD83,1,FT,VA TNC,Phragmites australis:Spartina alterniflora:Borrichia frutescens:Spartina patens:Distichlis spicata:Salicornia depressa,NA,Marsh,0-2,NA,Salt Marsh,Conservation,"Fine-Silty, Mixed, Active, Nonacid, Thermic Typic Sulfaquents",Other : Silt Loam,75 plants sampled,2000+,2,P,NA,NA,A. Faucette-NCBG:In Field:10 OCT 2017,"2:10 OCT 2017:NCU, US",NA,NA,NA,NA,1,JD-234,WEB,5,5 Y 4/1,5-Dec-17,IVA,frutescens,2017,NA,NA,NA
Typha latifolia,TYPHACEAE,TYLA,17-Aug-15,NCBG-237,237,NCBG,NA,"Heraty, M., Dakar, J.",US,63,Middle Atlantic Coastal Plains (Omernik),North Carolina,Tyrell,Poison Lakes NWR,"Roadside, Frying Pan Rd.","From NC-94 south, turn right onto Frying Pan Rd. Population on right after 5.2 miles.","35∞48' 21.5"" N","76∞6' 49.5"" W",35.80597,-76.11375,GPS,WGS84,11,FT,USFWS,Juncus coriaceus:Mikania scandens:Typha angustifolia:Liquidambar styraciflua:Toxicodendron radicans:Morella cerifera,NA,Roadside,0 - 2,NA,Roadside Marsh,Conservation,"Fine, mixed, Thermic Typic Ochraqualfs","Silt, Other : loam",50 plants sampled,250,1,P,Wider leaves than T. angustifolia,NA,J. Dakar:In Field:17 AUG 2015,2:17 AUG 2015:Smithsonian:North Carolina University,NA,NA,NA,NA,NA,JD-101,WEB,6,10YR 4/1,7-Sep-16,TYPHA,latifolia,2015,NA,NA,NA
Schizachyrium scoparium,POACEAE,SCSC,7-Oct-16,NEWFS-445,445,NEWFS,NA,"Rogers, J., Heilmann, K., Urban, A.",US,84,Atlantic Coastal Pine Barrens (Omernik),New Hampshire,Rockingham,Great Bay NWR,Field along road,"From Boston take 93N to 95N. Take exit 4 for NH-16N/4W. Take exit 1 for Gosling Road. Turn left onto Gosling Road. Right onto Arboretum Drive. At the traffic circle, take the third exit onto Arboretum Dr. Follow to just past the airport, there is a field on the right.","43∞05' 41.8"" N","70∞50' 18.3"" W",43.09494,-70.83841,GPS,NAD83,52,FT,US FWS,Linaria vulgaris:Asclepias syriaca:Digitaria cognata:Eragrostis spectabilis:Rubus sp.:Toxicodendron radicans:Rhamnus alnifolia,Mowed,meadow,0,NA,roadside/meadow,conservation,"migmatite, phyllite, diorite",Sand,600 plants sampled,5000+,2-Jan,P,NA,NA,M. Piantedosi:In Field:,"1:07 OCT 2016:Smithsonian, NEWFS",NA,NA,NA,NA,1,NEWFS-120,WEB,<4,7.5YR 3/2 black,21-Nov-16,SCHIZACHYRIUM,scoparium,2016,NA,NA,NA
