Source Lot,Source Code,Lbs Shipped,Seeds/Lb,100-Seed Wt (G),Species Code,Common Name,Genus,Species,,,,,NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
'SOS-NV030-1526,ATCAC-SOS-NV030-1526-WASHOE-20,0.878,34172,1.3273,ATCAC,fourwing saltbush,Atriplex,canescens,,,var.,canescens,Atriplex canescens var. canescens,CHENOPODIACEAE,ATCAC,11/10/2020,NV030-1526,1526,NV030,,"K. Mcneill, M. Mccreary, S. Siller, K. Mahlmeister",US,13E,Central Basin and Range (Omernik),Nevada,Washoe,McCarran Ranch Preserve,102 Ranch Trailhead,Park at 102 Ranch Trailhead. Plants are directly behind the fence.,"39°33' 56.6"" N","119°29' 30.6"" W",39.56572,-119.49183,GPS,NAD83,1293,M,The Nature Conservancy,Artemisia tridentata:Atriplex torreyi:Bromus tectorum:Lepidium latifolium,Grazed:Trampled,riparian area,0,E,cegl001282 four wing saltbush/big sagebrush shrubland,recreation,truckee river,Other : loam,200,400,2,P,,,Dean Tonenna BLM:In Field:10 NOV 2020,0::,,,,,1,,AEL,5,7.5 yr 2.5/2,44208,ATRIPLEX,canescens,2020,
'SOS-NV030-1527,ATTO-SOS-NV030-1527-WASHOE-20,0.011,1122216,0.0404,ATTO,Torrey's saltbush,Atriplex,torreyi,,,,,Atriplex torreyi,CHENOPODIACEAE,ATTO,11/10/2020,NV030-1527,1527,NV030,,M. McCreary,US,13E,Central Basin and Range (Omernik),Nevada,Washoe,McCarran Ranch Preserve,102 Ranch Trailhead,Park at 102 Ranch Trailhead. Plants are directly behind fence.,"39°33' 56.6"" N","119°29' 30.6"" W",39.56572,-119.49183,GPS,google,1293,M,The nature conservancy,Atriplex canescens:Artemisia tridentata:Lepidium latifolium,Grazed:Trampled,Riparian area,0,E,cegl001282,Recreation,Truckee river,Sand,50,25,2,P,,,Dean Tonenna BLM:In Field:10 NOV 2020,0::,,,,,1,,WEB,5,7.5yr 2.5/2,44153,ATRIPLEX,torreyi,2020,
'SOS-NV030-1528,PEPA2-SOS-NV030-1528-LYON-20,0.008,2945454,0.0153,PEPA2,manybristle chinchweed,Pectis,papposa,,,,,Pectis papposa,ASTERACEAE,PEPA2,11/19/2020,NV030-1528,1528,NV030,,"M. McCreary, K. Mahlmeister, S. Siller, K McNeill",US,13E,Central Basin and Range (Omernik),Nevada,Lyon,Fort Churchill St Park,Off-Road Recreation Area,Turn onto Simpson Road from Alt. 95. Follow dirt road for about 1/2 mile to open parking area. Plants are located between Park fence and the highway.,"39°16' 45.2"" N","119°14' 18.9"" W",39.27922,-119.23858,GPS,WGS84,4216,FT,State of Nevada,Bromus tectorum:Suaeda nigra:Sarcobatus vermiculatus:Malva sp.,Trampled,low hillside,5,S,CEGL001370 Sarcobatus vermiculatus / Sueada moquinii wet shrubland,recreation,old flood plain / low hill slope,Sand,300,1000,3,B,Very low growing aster with yellow flowers,,Dean Tonenna BLM:In Field:01 NOV 2020,0,,,44166,,1,,WEB,0.25,10 YR 5/3,44176,PECTIS,papposa,2020,
'SOS-NV030-1529,ARTRT-SOS-NV030-1529-WASHOE-20,0.0049,2680851,0.0169,ARTRT,basin big sagebrush,Artemisia,tridentata,spp.,tridentata,,,Artemisia tridentata ssp. tridentata,ASTERACEAE,ARTRT,11/23/2020,NV030-1529,1529,NV030,,"M. McCreary, K. Mahlmeister, S. Siller",US,13E,Central Basin and Range (Omernik),Nevada,Washoe,Bedell Flats,,Plants are found along the road.,"39°51' 33"" N","119°49' 30"" W",39.85916,-119.825,GPS,WGS84,5020,FT,BLM,Bromus tectorum,Grazed,valley,,,CEGL000991 Artemisia tridentata shrubland,recreation,basin,Sand,100,25000,5,P,,,"Dean Tonenna, BLM:In Field:23 NOV 2020",0::,,,,,2,,WEB,1-3.5,2.5Y 4/4,44176,ARTEMISIA,tridentata,2020,
'SOS-NV030-1530,TYLA-SOS-NV030-1530-LYON-20,0.0013,9450000,0.0047,TYLA,broadleaf cattail,Typha,latifolia,,,,,Typha latifolia,TYPHACEAE,TYLA,12/3/2020,NV030-1530,1530,NV030,,"M. McCreary, K. Mahlmeister, S. Siller, K McNeill",US,13E,Central Basin and Range (Omernik),Nevada,Lyon,Santa Margarita Ranch,,Santa Margarita Ranch service roads along river.,"38°46' 37"" N","119°1' 45"" W",38.77694,-119.02916,GPS,WGS84,4620,FT,Mark Mahan,Euthamia occidentalis:Juncus sp.:Salix sp.:Lepidium latifolium,Trampled,river bank,25,SE,R027XY002NV Moist Floodplain,pasture,basin,Sand,50,300,1,P,,,"Dean Tonenna, BLM:In Field:03 DEC 2020",::,,,,,1,,WEB,,10YR 4/2,44176,TYPHA,latifolia,2020,
'SOS-NV030-1531,EUOC4-SOS-NV030-1531-LYON-20,0.0017,6300000,0.0071,EUOC4,western goldentop,Euthamia,occidentalis,,,,,Euthamia occidentalis,ASTERACEAE,EUOC4,12/3/2020,NV030-1531,1531,NV030,,"M. McCreary, K. Mahlmeister, S. Siller, K McNeill",US,13E,Central Basin and Range (Omernik),Nevada,Lyon,Santa Margarita Ranch,,Santa Margarita Ranch service roads along river,"38°46' 46.1"" N","119°1' 23.8"" W",38.77947,-119.02327,GPS,WGS84,4620,FT,Mark Mahan,Typha latifolia:Salix sp.:Juncus sp.:Lepidium latifolium,Grazed:Trampled,river bank,0,,R027XY002NV Moist Floodplain,pasture,basin,Sand,80,300,1,P,,,"Dean Tonenna, BLM:In Field:03 DEC 2020",0::,,,,,,,WEB,5,10 YR 5/3,44176,EUTHAMIA,occidentalis,2020,
'SOS-NV030-1532,EUOC4-SOS-NV030-1532-LYON-20,0.0021,5968421,0.0075,EUOC4,western goldentop,Euthamia,occidentalis,,,,,Euthamia occidentalis,ASTERACEAE,EUOC4,12/3/2020,NV030-1532,1532,NV030,,"M. McCreary, K. Mahlmeister, S. Siller, K McNeill",US,13E,Central Basin and Range (Omernik),Nevada,Lyon,Santa Margarita Ranch,,Santa Margarita Ranch service roads along river,"38°46' 37"" N","119°1' 45"" W",38.77694,-119.02916,GPS,WGS84,4620,FT,Mark Mahan,Typha latifolia:Lepidium latifolium:Salix sp.:Juncus sp.,Grazed:Trampled,river bank,0,,R027XY2NV Moist Floodplain,pasture,Basin,Sand,50,150,1,P,,,Dean Tonenna:In Field:03 DEC 2020,::,,,,,1,,WEB,4,10 YR 4/2,44176,EUTHAMIA,occidentalis,2020,
'SOS-NV030-1534,ARTRT-SOS-NV030-1534-MONO-20,0.0038,2034000,0.0223,ARTRT,basin big sagebrush,Artemisia,tridentata,spp.,tridentata,,,Artemisia tridentata,ASTERACEAE,ARTR2,12/15/2020,NV030-1534,1534,NV030,,"K McNeill, M McCreary, K Mahlmeister, S Siller",US,13E,Central Basin and Range (Omernik),Nevada,Washoe,Washoe Lake State Park,,West of Eastlake Blvs off of 222. Park at Miner Mayhem play area. Plants are in all directions as dominant species.,"39°14' 21.3"" N","119°46' 2.3"" W",39.23925,-119.7673,GPS,WGS84,5033,FT,Nevada State Parks,Distichlis spicata:Ericameria nauseosa:Achnatherum hymenoides:Tetradymia canescens:Bromus tectorum:Bromus tectorum,Trampled,lake shore,0,,"C03: Xeromorphic Woodland, Scrub and Herb vegetation",recreation,basin,Sand,1000,10000,20,P,,,Dean Tonenna:In Field:15 DEC 2020,0::,,,,,1,,AEL,6,5 YR 3/2,44209,ARTEMISIA,tridentata,2020,
'SOS-NV030-1535,ARTR2-SOS-NV030-1535-WASHOE-20,0.0042,3106849,0.0145,ARTR2,big sagebrush,Artemisia,tridentata,,,,,Schoenoplectus pungens var. longispicatus,CYPERACEAE,SCPUL4,8/17/2020,NV030-1535,1535,NV030,,"M. McCreary, K. Mahlmeister",US,13E,Central Basin and Range (Omernik),California,Mono,Inyo National Forest,Mono Lake,North side of riparian area/lakeshore. Near end of FS-2N19A.,"38°03' 13.4187"" N","119°04' 32.5041"" W",38.05372,-119.07569,GPS,,1928,M,Forest Service,Distichlis spicata:Ericameria nauseosa,NA,Ancient lake bed,,,Sedge dominated marshy wetland,Recreation,Salt marsh,Sand,500,5000,1,P,,,"Dean Tonenna, BLM:From pressed specimen on day of collection:17 AUG 2020",0,,,44061,44062,1,,AEL,3.5,5 Y 2.5/1,44208,SCHOENOPLECTUS,pungens,2020,
'SOS-NV030-1536,TRMA20-SOS-NV030-1536-MONO-20,0.0147,876691,0.0517,TRMA20,seaside arrowgrass,Triglochin,maritima,,,,,Triglochin maritima,JUNCAGINACEAE,TRMA20,8/25/2020,NV030-1536,1536,NV030,,"McCreary, M., Mahlmeister, K.",US,13E,Central Basin and Range (Omernik),California,Mono,Inyo National Forest,Mono Lake,"Grassy area near lakeshore, north of large rabbitbrush patch","38°03' 18.9"" N","119°03' 57.7"" W",38.05525,-119.06602,GPS,GOOGLE MAP,6390,FT,Forest Service,Distichlis spicata:Ericameria nauseosa,NA,Ancient lake bed,,,Sedge dominated marshy wetland,Recreation,Salt marsh,Sand,700,1500,4,P,,,D. Tonenna - BLM:From pressed specimen on day of collection:25 AUG 2020,0::,,,,,1,,AEL,3.5,5 Y 2.5/1,44209,TRIGLOCHIN,maritima,2020,
'SOS-UT020-85,POSE-SOS-UT020-85-JUAB-20,0.0129,1130044,0.0401,POSE,Sandberg bluegrass,Poa,secunda,,,,,Poa secunda,POACEAE,POSE,5/26/2020,UT020-85,85,UT020,,Connor Desmond and Logan Vogel,US,13E,Central Basin and Range (Omernik),Utah,Juab,,,"From Salt Lake City, take I-80 west for about 20 miles. Get off on exit 99 for State Highway 36 toward Tooele. Follow UT-36 south for 39.8 miles and then turn right (west) onto Pony Express Road. Follow the Pony Express Road 41.9 miles west from the junction with UT-36 and then take a left (south) onto another wide, high-quality unpaved road, which is named 14 Mile Rd on ArcGIS Collector. Drive 8.4 miles south along this road before turning right (west) onto Beckstrom Corral Rd. Head west on this winding road for 3.5 miles, avoiding turning on any of the narrower, worse-quality roads on the way. Then, keep left on Pismire N Fork Rd and drive 2 miles further west to the collection site, which is marked by a fork in the road, where Pismire N Fork Rd and Pismire S Fork Rd split off. The surrounding sagebrush shrubland in this valley is the collection site.","39°46' 23.9"" N","113°06' 24.0"" W",39.7733,-113.10666,GPS,NAD83,5563,FT,BLM,Artemisia tridentata:Juniperus osteosperma:Pseudoroegneria spicata:Ephedra nevadensis:Bromus tectorum:Krascheninnikovia lanata:Ericameria nauseosa:Chrysothamnus viscidiflorus:Gutierrezia sarothrae:Hesperostipa comata:Erigeron sp.:Sphaeralcea grossulariifolia:Halogeton glomeratus:Elymus elymoides:Erodium cicutarium:Castilleja sp.:Eriogonum sp.:Grayia spinosa:Tetradymia sp.:Astragalus sp.,Drought,Valley and toeslopes in Thomas Range,2,N,Semi-desert stony loam,Recreation / Cattle ranching,Igneous/sedimentary derived alluvium,Other : Silty Clay,1200,6000,105,P,Grows in tufts with 1- 10 inflorescences per plant. Some stems still had reddish tint at the time of seed collection. Many individuals' growth stunted by drought and many individuals produced no reproductive shoots this year.,,::,"4:25 MAY 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,43985,"05/26, 06/02, AND 06/03",,,WEB,1,5YR 4/3 reddish brown,44021,POA,secunda,2020,
'SOS-UT020-86,POSE-SOS-UT020-86-JUAB-20,0.0141,835666,0.0542,POSE,Sandberg bluegrass,Poa,secunda,,,,,Poa secunda,POACEAE,POSE,5/27/2020,UT020-86,86,UT020,,Connor Desmond and Logan Vogel,US,13E,Central Basin and Range (Omernik),Utah,Juab,,,"From Salt Lake City, head west on I-80 for about 119 miles toward West Wendover, Nevada. Take exit 410 for US-93 Alt, take a left to cross south beneath the interstate, take an immediate left (east) on Wendover Blvd, drive a few blocks, and then an immediate right (south) onto US-93 Alt. Drive 25.6 miles south on US-93 Alt and then take a left (heading southeast) on Ibapah Rd. Follow Ibapah Rd for 16.4 miles, then turn left (southeast) onto Upper Gold Hill Rd. Drive 12 miles further southeast to the small town of Gold Hill, turn left (north) at the town, drive 0.7 miles, and then keep right (east) at the road junction just north of town. Next, drive 7.1 miles gradually curving southeast, stay right again at the next road junction heading straight south, and after driving for another 15.5 miles, take a right onto Snake Valley Road, continuing southwest through the Snake Valley. After another 10.1 miles, turn right onto Granite Creek Rd, and continue west for about 4 miles to a pull-over on the left alongside the riparian narrowleaf cottonwood forest. We collected seed in the sagebrush shrubland on the north and south side of this point along Granite Creek Rd.","39°46' 42.4"" N","113°51' 49.4"" W",39.77844,-113.86372,GPS,NAD83,6041,FT,BLM,Artemisia tridentata:Juniperus osteosperma:Pinus monophylla:Bromus tectorum:Atriplex canescens:Chrysothamnus viscidiflorus:Gutierrezia sarothrae:Pseudoroegneria spicata:Atriplex confertifolia:Ephedra nevadensis:Grayia spinosa:Elymus elymoides:Castilleja sp.:Tetradymia glabrata:Phlox austromontana:Yucca harrimaniae:Hilaria jamesii:Hesperostipa comata:Sarcobatus vermiculatus:Opuntia sp.:Astragalus lentiginosus:Krascheninnikovia lanata:Artemisia nova,,"Toeslopes, footslopes, and backslopes in canyon",9,S,Upland shallow loam,Recreation,Igneous/sedimentary/metamorphic derived colluvium,Other : Sandy Clay Loam,1000,1500,23,P,Grows in tufts with 1- 10 inflorescences per plant. Some stems still had reddish tint at the time of seed collection. Individuals located along dry stream beds seemed to have the greatest amount of seed production.,,::,"4:27 MAY 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,43984,"05/27, 06/01, AND 06/02",,,WEB,1.083,5YR 3/2 very dark grey,44028,POA,secunda,2020,
'SOS-UT020-87,POSE-SOS-UT020-87-TOOELE-20,0.0115,1031377,0.0439,POSE,Sandberg bluegrass,Poa,secunda,,,,,Poa secunda,POACEAE,POSE,6/9/2020,UT020-87,87,UT020,,Connor Desmond and Logan Vogel,US,13E,Central Basin and Range (Omernik),Utah,Tooele,,,"From Salt Lake City, take I-80 west for 42.2 miles. Get off on exit 77 for state highway 196 towards Dugway. Follow UT-196 south for 17 miles and then turn right (west) onto an unpaved road marked by a wooden BLM sign. Drive 0.8 miles down this road before turning left and gradually curving southwest. After driving 12 miles, turn right and head west up into Rydalch Canyon. After driving about 3 miles, you will arrive at the Poa secunda collection site. Seed was collected from plants throughout the juniper forest ravines, sagebrush shrublands, and bluebunch wheatgrass slopes surrounding this point.","40°26' 04.7"" N","112°57' 46.6"" W",40.43463,-112.96294,GPS,NAD83,5380,FT,BLM,Juniperus osteosperma:Pseudoroegneria spicata:Artemisia tridentata:Sarcobatus vermiculatus:Purshia tridentata:Atriplex confertifolia:Bromus tectorum:Ephedra nevadensis:Chaenactis douglasii:Astragalus sp.:Tragopogon dubius:Chrysothamnus viscidiflorus:Crepis occidentalis:Perityle stansburyi,,"Toeslopes, footslopes, and backslopes in canyon",15,N,Semi-desert shallow loam,Recreation,Limestone derived residuum,Other : Loamy Sand,1500,5000,72,P,"Grows in tufts with 1- 10 inflorescences per plant. Some stems still had reddish tint at the time of seed collection. Individuals located along dry stream beds seemed to have the greatest amount of seed production. Individuals higher on slopes appeared to have stunted reproductive growth, likely due to drought.",,::,"4:04 JUN 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,43992,06/09 and 06/10,,,WEB,1,5YR 4/1 dark grey,44021,POA,secunda,2020,
'SOS-UT020-88,PSSP6-SOS-UT020-88-JUAB-20,0.0934,138082,0.3284,PSSP6,bluebunch wheatgrass,Pseudoroegneria,spicata,,,,,Pseudoroegneria spicata,POACEAE,PSSP6,6/24/2020,UT020-88,88,UT020,,Connor Desmond and Logan Vogel,US,13E,Central Basin and Range (Omernik),Utah,Juab,,,"From Salt Lake City, take I-80 west for about 20 miles. Get off on exit 99 for State Highway 36 toward Tooele. Follow UT-36 south for 39.8 miles and then turn right (west) onto Pony Express Road. Follow the Pony Express Road 41.9 miles west from the junction with UT-36 and then take a left (south) onto another wide, high-quality unpaved road, which is named 14 Mile Rd on ArcGIS Collector. Drive 8.4 miles south along this road before turning right (west) onto Beckstrom Corral Rd. Head west toward the Thomas Range on this winding road for 3.5 miles, avoiding turning on any of the narrower, worse-quality roads on the way. Then, turn left (west) on Pismire N Fork Rd and drive 2 miles to the junction of Pismire N Fork Rd and Pismire S Fork Rd. Turn right here, heading northwest for about one mile. We collected seed from bluebunch wheatgrass along slopes in all directions from this point.","39°46' 56.9"" N","113°06' 51.7"" W",39.78247,-113.11436,GPS,NAD83,5879,FT,BLM,Artemisia tridentata:Gutierrezia sarothrae:Chrysothamnus viscidiflorus:Juniperus osteosperma:Bromus tectorum:Poa secunda:Artemisia nova:Hesperostipa comata:Hilaria jamesii:Acroptilon repens:Verbascum thapsus:Ephedra nevadensis:Tetradymia spinosa:Phlox austromontana:Atriplex confertifolia:Krascheninnikovia lanata:Astragalus sp.:Cirsium neomexicanum:Opuntia polyacantha:Symphoricarpos longiflorus:Halogeton glomeratus:Ericameria nauseosa,Drought,"Backslopes, footslopes, and toeslopes of the Thomas Range",7,E,Semi-desert shallow loam,Cattle grazing and recreation,Igneous/sedimentary derived alluvium,Sand,2500,50000,212,P,"Perennial bunchgrass forming expansive populations, with individuals generally spaced apart evenly covering entire slopes. Awns at 90 degrees from shoot axis. Many plants lacking reproductive shoots this year due to drought, with seed production mostly limited to areas surrounding dry stream beds and ravines.",,::,"4:25 MAY 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,44014,"06/24,06/25,06/30,07/01,07/02",,,WEB,2.25,5YR 3/2 dark reddish brown,44028,PSEUDOROEGNERIA,spicata,2020,
'SOS-UT020-89,POSE-SOS-UT020-89-BOXELDER-20,0.0164,718403,0.0631,POSE,Sandberg bluegrass,Poa,secunda,,,,,Poa secunda,POACEAE,POSE,7/7/2020,UT020-89,89,UT020,,Connor Desmond and Logan Vogel,US,80E,Northwestern Basin and Range (Omernik),Utah,Box Elder,Sawtooth National Forest,Minidoka Ranger District,"From Salt Lake City, follow I-15 north about 71 miles and then keep left to follow I-84 northwest for another 37 miles. Take exit 5 to get onto UT-30, and follow this highway directly west for 15.8 miles. Then, stay right to continue west on UT-42 for 8.7 miles, crossing into Idaho. At this point, turn left to head straight west on East Naf Rd, and follow this road for 18 miles. Then, turn left to head south along S Yost Rd for 2.3 miles, crossing into Utah again. At the junction here, turn right to head straight south for 1.3 miles. Then, turn right again to head west and then south for a total of 1 mile, and then turn right again to head south for 6.1 miles into the Raft River Mountains, following Johnson Creek Road. At this point, turn right onto Johnson Creek Spur B Road, driving about 2 miles to the end of the road at a small meadow. The collection site is directly northwest of here, just outside of the Douglas fir forest along a dry slope with sheer rock cliffs.","41°52' 37.9"" N","113°33' 51.4"" W",41.87719,-113.56427,GPS,NAD83,7076,FT,USFS,Artemisia tridentata:Pseudoroegneria spicata:Mahonia repens:Symphoricarpos oreophilus:Populus tremuloides:Balsamorhiza sagittata:Holodiscus dumosus:Bromus tectorum:Ericameria nauseosa:Artemisia arbuscula:Tragopogon dubius:Crepis acuminata:Lupinus argenteus:Opuntia fragilis:Eriogonum umbellatum:Eriogonum heracleoides:Cirsium undulatum:Allium sp.:Chrysothamnus viscidiflorus:Chrysothamnus viscidiflorus,Grazed,"Backslope, shoulder, and summit of hill in the central Raft River Mountains",28,S,Semi-wet fresh meadow,Cattle grazing and recreation,Quartzite-derived colluvium,Other : Silty clay loam,1100,3000,3,P,"Perennial bunchgrass growing in tufts with a reddish tint or golden hue to stems. Specimens here were relatively tall and healthy, growing along a south-facing slope within the Raft River Mountains. Extremely dense population, dominating the landscape at the upper elevations of the slope.",,::,"4:07 JUL 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,,44019,1,,AEL,1.583,"5YR, 2.5/2, dark reddish-brown",44109,POA,secunda,2020,
'SOS-UT020-90,PSSP6-SOS-UT020-90-TOOELE-20,0.0947,123435,0.3674,PSSP6,bluebunch wheatgrass,Pseudoroegneria,spicata,,,,,Pseudoroegneria spicata,POACEAE,PSSP6,7/9/2020,UT020-90,90,UT020,,"Connor Desmond, Logan Vogel, Karen Pollard, and Alex Hewitt",US,13E,Central Basin and Range (Omernik),Utah,Tooele,,,"From Salt Lake City, take I-80 west for about 63 miles and take exit 56. Turn left to head south underneath overpass and continue south on Aragonite Road for 2.3 miles toward the Clean Harbors Aragonite Incineration Facility. Near the gate of the facility, turn left to head southwest along Hastings Pass Road. Continue for 4.4 miles to Hastings Pass. Seeds were collected from plants on the slopes northeast of this point.","40°42' 36.7"" N","112°55' 40.8"" W",40.71019,-112.928,GPS,NAD83,5797,FT,BLM,Chrysothamnus viscidiflorus:Juniperus osteosperma:Poa secunda:Hesperostipa comata:Bromus tectorum:Petradoria pumila:Tragopogon dubius:Tetradymia canescens:Gutierrezia sarothrae:Cryptantha sp.:Achnatherum hymenoides:Tetradymia glabrata:Purshia stansburiana:Artemisia nova:Astragalus sp.:Leymus cinereus:Artemisia tridentata:Atriplex confertifolia:Aristida purpurea:Lactuca serriola:Grindelia squarrosa:Helianthus annuus,Burned,"Summits, shoulders, back-slopes, foot-slopes, and toe-slopes of the northern Cedar Mountains",14,SE,Semidesert Shallow Loam (Utah Juniper-Bluebunch Wheatgrass),Recreation and cattle grazing,Colluvium derived from limestone and/or residuum weathered from limestone,Sand,1800,5000,110,P,"Perennial bunchgrass with narrow spike inflorescence, forming expansive populations with individuals generally spaced apart evenly, covering entire slopes. Awns at 90 degrees from shoot axis. Reproductive growth only moderately limited by drought this year, with most seed production occurring on plants growing in valley bottoms and surrounding toe-slopes.",,::,"4:03 JUL 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,44027,"07/09/20, 07/14/20, 07/15/20",,,WEB,2.083,5YR 4/1 dark grey,44060,PSEUDOROEGNERIA,spicata,2020,
'SOS-UT020-91,POSE-SOS-UT020-91-BOXELDER-20,0.0135,950544,0.0477,POSE,Sandberg bluegrass,Poa,secunda,,,,,Poa secunda,POACEAE,POSE,7/13/2020,UT020-91,91,UT020,,Connor Desmond and Logan Vogel,US,80E,Northwestern Basin and Range (Omernik),Utah,Box Elder,,,"From Salt Lake City, follow I-15 north about 71 miles, and then keep left to follow I-84 northwest for another 37 miles. Take exit 5 to get onto UT-30, and follow this highway west and then southwest for 57.5 miles. At this point, turn right onto Immigrant Trail Road and follow it west for 2.1 miles. Then, turn right to head northwest on Ingham Pass Road for 6.6 miles. At this junction, stay left on Ingham Pass Road and continue west for 2.5 miles up to Ingham Pass. Here, turn right on N Ridge Road and drive 50 feet to reach the mountain meadow where we collected seed.","41°39' 43.5"" N","113°44' 34.8"" W",41.66208,-113.743,GPS,NAD83,7910,FT,BLM,Carex douglasii:Artemisia ludoviciana:Tragopogon dubius:Agoseris aurantiaca:Poa bulbosa:Bromus tectorum:Koeleria macrantha:Juncus sp.:Grindelia squarrosa:Achillea millefolium:Castilleja sp.:Lupinus argenteus:Leymus cinereus:Agropyron cristatum:Eriogonum heracleoides,,Mountain pass in the Grouse Creek Mountains,4,SE,Mountain Gravelly Loam (Mountain Big Sagebrush),Recreation and cattle grazing,"Colluvium from quartzite, schist, and gneiss",Other : Sandy clay loam,1400,2500,1,P,"Perennial bunchgrass with narrow panicle inflorescence, growing in tufts with a reddish tint or golden hue to stems. Plants in this population were relatively tall for Sandberg Bluegrass in the West Desert of Utah, since they were growing in a wet mountain meadow. Poa secunda was the dominant grass in the small area where we collected.",,::,"4:13 JUL 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,,44025,,,WEB,1.417,5YR 2.5/1 black,44060,POA,secunda,2020,
'SOS-UT020-92,LECI4-SOS-UT020-92-BOXELDER-20,0.0838,139552,0.325,LECI4,basin wildrye,Leymus,cinereus,,,,,Leymus cinereus,POACEAE,LECI4,8/10/2020,UT020-92,92,UT020,,"Connor Desmond, Logan Vogel, Summer Traylor, and David Sauve",US,80E,Northwestern Basin and Range (Omernik),Utah,Box Elder,,,"From the small town of Grouse Creek, UT, head northeast on Grouse Creek Rd for about 3.3 miles. Then, turn right, heading straight east and then north along Cotton Thomas Rd. Continue along this improved unpaved road for 8.3 miles before turning left onto another unpaved road at the top of a hill. Follow this road northwest toward Cotton Thomas Basin for just 0.4 miles. The collection site is the flat, open field of Leymus cinereus at the bottom of the canyon.","41°51' 23.8"" N","113°47' 35.3"" W",41.85661,-113.79313,GPS,NAD83,6608,FT,BLM,Artemisia tridentata:Symphoricarpos oreophilus:Chrysothamnus viscidiflorus:Bromus tectorum:Amelanchier utahensis:Artemisia ludoviciana:Lupinus sp.:Castilleja sp.:Eriogonum heracleoides:Achillea millefolium:Ericameria nauseosa:Balsamorhiza sagittata:Mahonia repens:Chaenactis douglasii:Poa secunda,Grazed:Trampled,Valley and toe-slopes at the bottom of a broad canyon,8,SW,Mountain Gravelly Loam (Mountain Big Sagebrush),Cattle grazing and recreation,Colluvium derived from mixed sedimentary rocks,Other : Sandy loam,250,500,17,P,"Perennial bunchgrass forming tall, sprawling clumps with numerous inflorescences. Plant height averaged 5 ft and plants here appeared healthy, but cattle grazing was particularly heavy in the area, so most of the plants had been trampled upon and chewed down. Population densest in the flat, open, wet bottom of the canyon, and sparser along the drier surrounding toe-slopes.",,::,"4:08 JUL 2020:University of Nevada, RenoûBLM Utah - West Desert DistrictûSmithsonian National MuseumûUtah Department of Agriculture and Food",,,44054,"08/10/2020, 08/11/2020",,,WEB,5,5YR 2.5/1 black,44062,LEYMUS,cinereus,2020,
