NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
Salicornia depressa,CHENOPODIACEAE,SADE10,28-Oct-15,MARSB-384,384,MARSB,,"Over, P., Santel, M.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Cape May,The Wetlands Institute,,From parking log follow gravel trail to marsh. Population is on both sides of the trail.,"39°3' 34.2"" N","74°46' 24"" W",39.0595,-74.77333,GPS,NAD83,-6,FT,The Wetlands Institute,Spartina alterniflora:Distichlis spicata:Spartina patens:Limonium carolinianum,,Tidal marshes,,,Atlantic Coast High Salt Marsh,"Conservation, research, education",Pawcatuck,Silt,350 plants sampled,600 +,2,P,,,::,2:28 OCT 2015:SmithsonianûMARSB,,,,,,,WEB,0.3 - 0.8,brown,25-Aug-16,SALICORNIA,depressa,2015,
Euthamia caroliniana,ASTERACEAE,EUCA26,29-Oct-15,MARSB-385,385,MARSB,,"Over, P., Santel, M.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Atlantic,Tuckahoe WMA,,"Take Garden State Parkway south to exit 25. Turn right onto US 9S, merge onto Tuckahoe Rd, turn right onto Woods Rd and slight left on Meadow Rd.","39°18' 56.8"" N","74°44' 30.8"" W",39.31577,-74.74188,GPS,NAD83,-38,FT,NJ DEP Fish and Wildlife,Prunus serotina:Rhus copallinum:Hibiscus moscheutos:Kosteletzkya virginica:Eupatorium hyssopifolium:Euthamia graminifolia:Euthamia graminifolia:Lespedeza capitata:Phragmites australis,Mowed,Tidal marshes,,,Brackish tidal marsh roadside,Recreation and conservation,Transquaking,Sand,350 plants sampled,750 +,2,P,,,::,2:29 OCT 2015:SmithsonianûMARSB,,,,,,10329,WEB,0.5 - 3,tan,25-Aug-16,EUTHAMIA,caroliniana,2015,
Lespedeza capitata,FABACEAE,LECA8,29-Oct-15,MARSB-386,386,MARSB,,"Over, P., Santel, M.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Atlantic,Tuckahoe WMA,,"Take Garden State Parkway south to exit 25. Turn right onto US 9S, merge onto Tuckahoe Rd, turn right onto Woods Rd and slight left on Meadow Rd.","39°18' 56.7"" N","74°44' 31.9"" W",39.31575,-74.74219,GPS,NAD83,-39,FT,NJ DEP Fish and Wildlife,Prunus serotina:Rhus copallinum:Hibiscus moscheutos:Kosteletzkya virginica:Eupatorium hyssopifolium:Euthamia graminifolia:Euthamia caroliniana:Phragmites australis,Mowed,Tidal marshes,,,Brackish tidal marsh roadside,Recreation and conservation,Transquaking,Sand,60 plants sampled,65,2,P,,,::,2:29 OCT 2015:SmithsonianûMARSB,,,,,,10330,WEB,2 - 3.5,tan,25-Aug-16,LESPEDEZA,capitata,2015,
Andropogon glomeratus,POACEAE,ANGL2,28-Oct-15,MARSB-407,407,MARSB,,"Feinberg, L., Russell, K.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Connetquot River State Park,Red Trail,Park in Connetquot River State Park. Hike North along the river. The population is in a meadow along the Red Trail,"40°45' 54.3"" N","73°8' 57.9"" W",40.76508,-73.14941,GPS,NAD83,23,FT,NYSOPRHP,Pinus rigida:Acer rubrum:Acer rubrum:Quercus alba:Quercus velutina:Clethra alnifolia:Gaylussacia frondosa:Lyonia mariana:Andropogon virginicus:Andropogon gerardii:Schizachyrium scoparium:Helianthemum canadense:Euthamia caroliniana:Smilax sp.,,Wet meadows,,,Eastern North American Sub-boreal Acidic Bog and Fen,Conservation/recreation,,"Silt, Sand",300 +,2000 +,250,P,,,::,2:28 OCT 2015:MARSBûSmithsonian,,,,,,10343,WEB,3,,25-Aug-16,ANDROPOGON,glomeratus,2015,
Salicornia depressa,CHENOPODIACEAE,SADE10,30-Oct-15,MARSB-414,414,MARSB,,"Feinberg, L., Russell, K.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Orient Point State park,"Beaches, Marsh","Enter Orient Point State Park. Park in the lot at the end, and walk along beaches.","41°7' 30.4"" N","72°16' 39.2"" W",41.12511,-72.27755,GPS,NAD83,4,FT,NYSOPRHP,Juniperus virginiana:Prunus maritima:Morella pensylvanica:Spartina alterniflora:Spartina patens:Distichlis spicata:Solidago sempervirens:Schizachyrium littorale:Panicum virgatum,,"Marsh, beach",,,North Atlantic Coastal Beach,Conservation/recreation,Beaches,Sand,450 +,3000 +,180,P,,,::,2:30 OCT 2015:MARSBûSmithsonian,,,,,,10350,WEB,0.75,2.5Y 8/1,25-Aug-16,SALICORNIA,depressa,2015,
Andropogon glomeratus,POACEAE,ANGL2,29-Oct-15,MARSB-420,420,MARSB,,"Over, P., Santel, M.",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Atlantic,Tuckahoe WMA,,"Take Garden State Parkway south to exit 25. Turn right onto US 9S, merge onto Tuckahoe Rd, turn right onto Woods Rd and slight left on Meadow Rd.","39°18' 57.1"" N","74°44' 46.7"" W",39.31586,-74.7463,GPS,NAD83,3,FT,NJ DEP Fish and Wildlife,Vaccinium sp.:Decodon verticillatus:Eriophorum virginicum:Glyceria obtusa:Panicum virgatum:Phragmites australis:Phragmites australis:Chasmanthium laxum:Sphagnum sp.,,Tidal marshes,,,Bog powerline cut,Recreation and conservation,Transquaking,,150 plants sampled,500 +,1,P,,,::,2:29 OCT 2015:SmithsonianûMARSB,,,,,,10331,WEB,3-Feb,tan,25-Aug-16,ANDROPOGON,glomeratus,2015,
Carex stricta,CYPERACEAE,CAST8,15-Jun-16,MARSB-447,447,MARSB,,"C. Holmes, H. Liljengren and MARSB 2016 interns",US,84E,Atlantic Coastal Pine Barrens (Omernik),New York,Suffolk,Connetquot State Park,Green trail north end and fish hatchery,"I-495 East to exit 53, Sagtikos Parkway. Continue on Sagtikos parkway to exit S4, Southern State.Hecksher Parkway. Continue on Southern State/Hecksher parkway to exit 44E for NY-27. Continue on NY-27 to exit 47A, basically make a turn to get back on NY-27 going West. Once on NY-27W take the exit for Connetquot state park.","40°43' 13"" N","73°10' 5"" W",40.72027,-73.16805,,NAD83,12,M,NYSOPRHP,Morella pensylvanica:Rhus copallinum:Smilax sp.:Symplocarpus foetidus:Quercus sp.,Flooded,Swamp,0,,Freshwater bog within a pitch pine lowland,Conservation and Recreation,Swansea,: Peat,plants sampled,,,,,,Clara Holm:In Field:17 MAY 2016,"2:15 JUN 2016:Smithsonian, MARSB",,,,,,10524,WEB,,Dark Brown,16-Mar-17,CAREX,stricta,2016,
Danthonia spicata,POACEAE,DASP2,16-Jun-16,MARSB-449,449,MARSB,,"C. Holmes, H. Liljengren and MARSB interns",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Atlantic,Peasley WMA,Railroad tracks under south Tuckahoe road,"From Corbin City, take route 50 North to Tuckahoe Road. Take a left and continue to the overpass of the railroad. Population is on the railroad grade south of Tuckahoe Road.","39°21' 18.9"" N","74°47' 12"" W",39.35525,-74.78666,GPS,NAD83,22,M,NJ DEP - Fish and Wildlife,Quercus alba:Quercus rubra:Pinus echinata:Pinus rigida:Gaylussacia baccata:Gaylussacia frondosa:Vaccinium pallidum:Andropogon virginicus:Danthonia compressa:Kalmia latifolia,,"Flats, low hills, floodplain",0,,Pitch pine Lowland,Railroad tight of way,"Mullica, Hammonton, Aura and Downer",Other : Sandy Loam,300 plants sampled,600,10,P,"erect perennial, leaves with narrow flat blades, leaves at the base frequently dry and curly. Inflorescence terminal, few flowered contacted panicle of large spikelets",,Clara Holmes:In Field:19 JUN 2016,2:19 JUN 2016:MARSB and Smithsonian,,,,,,10534,ACH,.5-2,light tan,14-May-19,DANTHONIA,spicata,2016,
Danthonia spicata,POACEAE,DASP2,20-Jun-16,MARSB-450,450,MARSB,,"C. Holmes, H. Liljengren",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Cumberland,Peasley WMA,First Avenue between route 49 and cape may avenue,"From Tuckahoe, take route 49 west to first avenue. Take a right on First Ave, population begins here and continues to Cape May Avenue","39°20' 23.7"" N","74°50' 17.1"" W",39.33991,-74.83808,GPS,NAD83,50,FT,NJ DEP - Fish and Wildlife,Quercus rubra:Quercus falcata:Quercus alba:Acer rubrum:Ilex opaca:Nyssa sylvatica:Nyssa sylvatica:Gaylussacia frondosa:Rubus cuneifolius:Kalmia latifolia:Danthonia compressa:Baptisia tinctoria:Chasmanthium laxum:Schizachyrium scoparium:Smilax rotundifolia,Mowed,"Low Hills, Flats",0-5,NE,Pitch Pine Lowland,Conservation and Recreation,"Hammonton, Galloway, Aura, Downer",Other : Sandy loam,1800 plants sampled,4000+,30,P,"Dense tufts. Leaves born mostly near base, blades curly. lower sheaths often contain cleistogamous spikelets. inflorescence contracted, racemiform.",,Heather Liljengren:In Field:20 JUN 2016,2:20 JUN 2016:Smithsonian and MARSB,,,,,,10535,WEB,3-Jan,brown,30-Nov-16,DANTHONIA,spicata,2016,
Carex atlantica,CYPERACEAE,CAAT4,22-Jun-16,MARSB-451,451,MARSB,,"C. Holmes, H. Liljengren and MARSB Interns",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Monmouth,Turkey Swamp County Park,Bog Downhill of Boy scout camp,Drive North on Nomoco Road into Turkey Swamp Co. Park. Take a right onto Turkey Swamp Park Activity area (just before the north branch of the Metedeconk River). Drive as far east as you can into the boy scout camp. population is along both sides of the river between Nomoco Road and Pittenger Pond Road,"40°10' 53.8"" N","74°10' 23.5"" W",40.18161,-74.17319,GPS,NAD83,121,FT,Monmouth County Parks Department,Liquidambar styraciflua:Ilex verticillata:Microstegium vimineum:Symplocarpus foetidus:Arisaema triphyllum:Vitis sp.:Carex stricta:Smilax sp.:Carex intumescens:Glyceria striata,Flooded,Flats,0-2,,Mixed Hardwood Freshwater Swamp,Conservation and Recreation,Atsion,Sand,240 plants sampled,500+,7+,P,"Multiple stellate seed heads per stem. stems scabrous on the angles above. perigynia greeen, usually several-nerved ventrally.",,Clara Holmes:In Field:22 JUN 2016,2:22 JUN 2016:Smithsonian and MARSB,,,,,,10536,WEB,1.5-2,5Y 2.5/1 Black,14-Nov-16,CAREX,atlantica,2016,
Carex atlantica,CYPERACEAE,CAAT4,27-Jun-16,MARSB-452,453,MARSB,,"Robert KRetz, Michael Giambalvo",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Atlantic,Peaslee WMA,Trail off 1st Avenue,"From Tuckerton, drive west on Hwy 49 for about 5 miles, turn right on First Avenue. Drive about a quarter mile. There is a small path on the left side on the road that can be followed for about 0.3 miles. Population is to the left of the path.","39°19' 53.9"" N","74°51' 48.0"" W",39.33163,-74.86333,GPS,NAD83,23,FT,NJ DEP,Acer rubrum:Vaccinium fuscatum:Vaccinium corymbosum:Clethra alnifolia:Ilex opaca,Flooded,flat,0-2,,mixed hardwood swamp,"conservation, recreation",organic material,Other : muck,400 plants sampled,2000+,2,P,"Multiple stellate seed heads per stem. stems scabrous on the angles above. perigynia greeen, usually several-nerved ventrally.",,Clara Holmes:In Field:17 JUN 2016,"2:27 JUN 2016:Smithsonian, MARSB",,,,,,,WEB,2-Jan,black,14-Nov-16,CAREX,atlantica,2016,
Hudsonia ericoides,CISTACEAE,HUER,8-Jul-16,MARSB-454,454,MARSB,,"Robert Kretz, Michael Giambalvo, Clara Holmes",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Ocean,Forked River Mountain WMA,Long ridge Road,"From Ocean township, drive west on Wells Mills road. Turn right onto Bryant road. Slight Right onto longridge road. Follow Longridge road past powerlines. Population begins when trees become more sparse and extends to parkway.","39°49' 38.4"" N","074°14' 34.8"" W",39.82733,-74.243,GPS,NAD83,5,FT,NJDEP,Pinus rigida:Quercus marilandica:Vaccinium virgatum:Vaccinium corymbosum:Gaylussacia frondosa,,Flat Dune,0-2,,Pine Barren,"Conservation, REcreation","SAndy, fluviomarine deposits",Sand,200 plants sampled,1000+,20,P,"Small, low, shrub. Forms dense mat. needle-like leaves only a few mm long. Pale orange- tan fruit.",,Clara Holmes:In Field:16 JUN 2016,"2:08 JUL 2016:Smithsonian, MARSB",,,15-Jul-16,,1,,WEB,0.5,2.5YR 2.5/1,14-Nov-16,HUDSONIA,ericoides,2016,
Plantago aristata,PLANTAGINACEAE,PLAR3,13-Jul-16,MARSB-456,456,MARSB,,Robert Kretz,US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Cape May,Cape May NWR,Two Mile beach,Head South on pacific avenue from Wildwood. Make right onto USCG entrance street. Population begins where road turns right.,"38°57' 23.0"" N","074°51' 12.8"" W",38.95638,-74.85355,GPS,NAD83,7,FT,U.S. F + W,Plantago lanceolata:Poa pratensis:Cenchrus tribuloides:Trifolium arvense,Mowed:Flooded:Trampled,secondary dune,0-2,,sandy roadside,"conservation, recreation",fluviomarine deposits,Sand,600 plants sampled,"1,500",3,P,"taprooted, thinly hairy. leaves linear to 18 cm. infl. cylindrical spikes. linear bracts conspicuously long-exsert. seeds 2, brown, elliptic.",,Clara Holmes:From pressed specimen on another date:18 JUL 2016,"2:13 JUL 2016:Smithsonian, MARSB",,,,,,,WEB,.2 -1,grey,14-Nov-16,PLANTAGO,aristata,2016,
Carex crinita,CYPERACEAE,CACR6,9-Aug-16,MARSB-457,457,MARSB,,"Robert Kretz, Michael Giambalvo",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Morris,GReat Swamp NWR,Blue Trail,"FRom New Vernon, drive SW on Lee's Hill Road for about .1 Miles. Turn left on Long hill road and drive south for 1 Miles. PArking lot for blue trail is on left. Population is on the banks of the GReat BRook where the blue trail crosses over it.","40°43' 19.7"" N","74°28' 57.8"" W",40.72213,-74.48272,GPS,NAD83,237,FT,U.S. F + W,Quercus rubra:Rosa multiflora:Carex longii:Carex lurida:Carex lupulina:Lobelia cardinalis:Mikania scandens,Flooded,glacial lakes,0 -2,,hardwood swamp,"conservation, recreation",coarse loamy lagoonal deposits,"Silt, Other : loam",150 plants sampled,200,100,P,"Densely tufted, 4-16 dm. stems surpassing the leaves. spikes loosely spreading to drooping on slender peduncles. perigynia silky green, 2-ribbed. achene lenticular.",,Clara Holmes:From pressed specimen on another date:15 AUG 2016,"2:09 AUG 2016:Smithsonian, MARSB",,,,,,,WEB,4,black,14-Nov-16,CAREX,crinita,2016,
Scirpus atrovirens,CYPERACEAE,SCAT2,21-Jul-16,MARSB-458,458,MARSB,,"Robert Kretz, Michael Giambalvo",US,84E,Atlantic Coastal Pine Barrens (Omernik),New Jersey,Morris,Black River WMA,Patirots Path,"Drive North on Hillside road from Chester, NJ in .5 miles bear right onto pleasant hill road. In .5 mile patriots path is on right. Population is .2 miles east on patriots path.","40°48' 14.7"" N","074°41' 15.2"" W",40.80408,-74.68755,GPS,NAD83,680,FT,NJ DEP,Acer rubrum:Juncus tenuis:Cladium mariscoides,Flooded,stream terraces,0-2,,mix hardwood swamp,"recreation, conservation",fine-loam drift over residum weathered from limestone,Other : loam,80 plants sampled,120,0.25,P,"1.5 m from short tough rhizomes. main leaves to 18 mm wide, mostly on lower half of stem. spikelets ovoid or short-cylindric, 2-8 mm, densely crowded in subglobose heads. scales 1.4-2.1 mm, brownish or blackish with pale midvein.",,Clara Holmes:From photograph:21 JUL 2016,"2:21 JUL 2016:Smithsonian, MARSB",,,,,,,WEB,.5-2,black,14-Nov-16,SCIRPUS,atrovirens,2016,
