Accession,Inventory,Accession Prefix,Accession Number,Name,Source Code,lbs Shipped,100-Sd (g),Est Seed,Divisor,NCGRP,-20°C,4°C,Seeds/Lb,Species Code,Common Name,Genus,Species,label ss,Taxon,SubSpecies,label var,Variety,NAME,GENUS,SPECIES,FAMILY,ABBREV_NAME,COLL_DT,COLL_YR,ACC_NUM,COLL_NUM,COLL_ID,SECONDARY_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,KEYWORD,MISC,SECOND_COLL_DT,DATE_AS_GIVEN,CREATED_BY,ACC_DT,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,ASSOCIATED_TAXA_FULL,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,GEOLOGY,SOIL_TYPE,DESCRIPTION,PSOURCE_FULL,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8,USER9,USER10
W6 55510,W6 55510 2018o SD,W6,55510,CO932-361,BOCU-SOS-CO932-361-FREMONT-17,0.0903,0.3503,11693,3,13.6,13.6,13.7,129452,BOCU,sideoats grama,Bouteloua,curtipendula,,Bouteloua curtipendula,,,,Bouteloua curtipendula,BOUTELOUA,curtipendula,POACEAE,BOCU,4-Oct-17,2017,CO932-361,361,CO932,NA,,Palmer B.,US,21E,Southern Rockies (Omernik),Colorado,Fremont,Garden Park Fossil Area,Marsh Quarry Trail,"From the BLM Royal Gorge Feield Office (in Canyon City), turn right out of parking lot, then turn left onto Dozier Ave. Dozier Ave will turn into Central Ave (stay on Central), and continue for 0.6 miles. At stop sign, turn right onto Field Ave and continue for 2.2 miles. Turn Right onto Red Canyon Road (CR-9). In 0.8 miles, turn right to stay on CR-9. Remain on CR-9 for 2.5 miles, then turn left into Marsh Quarry Day Use Trail parking lot. Population can be found near trail and along adjacent hillsides of various aspects.","38°32' 1.4"" N","105°13' 14.3"" W",38.53372,-105.22063,GPS,WGS84,5809,FT,Bureau of Land Management,,,,,WEB,6-Oct-17,420 plants sampled,5000+,3,P,Pinus edulis:Juniperus scopulorum:Cylindropuntia imbricata:Opuntia sp.:Echinocereus sp.:Eriogonum brandegeei:Eriogonum umbellatum:Grindelia squarrosa:Mirabilis multiflora:Dalea jamesii:Melampodium leucanthum:Gutierrezia sp.:Atriplex canescens:Helianthus annuus:Bouteloua gracilis,"Hills, fan terraces",15-40,"E, SE, S, SW, W",Sandy foothill (R049BY210CO); around pinion-juniper woodland of the 21d sub-ecoregion: Southern Rockies - Foothill Shrublands,Ustic-Torriorthents-Sedillo Complex; parent material is colluvium derived from sedimentary rock and/or residuum weathered from sedimentary rock.,Other : very gravelly/cobbly loam,"Leaves usually flat, 2-7 mm wide; inflorescence of small, pendulous spikes hanging from one side of the stem; lemmas are three-awned.",,"Recreation (hiking), fossil excavation",NA,,"Palmer B. & Dawson C., BLM State Botanist:In Field:31 AUG 2017","2:31 AUG 2017:Smithsonian, University of Colorado Boulder",,,3,10 YR 6/2; light brownish gray,2
W6 55511,W6 55511 2018o SD,W6,55511,CO932-362,BOGR2-SOS-CO932-362,0.0188,0.0609,14002,3,2.833,2.833,2.832,743606,BOGR2,blue grama,Bouteloua,gracilis,,Bouteloua gracilis,,,,Bouteloua gracilis,BOUTELOUA,gracilis,POACEAE,BOGR2,5-Oct-17,2017,CO932-362,362,CO932,NA,,Palmer B.,US,21E,Southern Rockies (Omernik),Colorado,Chaffee,Shavano Wildlife Management Area/Droney Gulch ACEC,Wash Out Road/Forest Service Road 5630,"From the junction of Hwy-24 and Hwy-285 near Buena Vista, head South on Hwy-285 and continue for about 17.5 miles. Turn right onto Wash Out Road, in the Droney Gulch ACEC area of the Shavano Wildlife Management Area (will be the first right you can take after seeing ""Big Bend"" sign). Continue about 0.5 miles, and the population is on the north side of road, in a clearing of pinion-juniper woodland, near an old camping area.","38°34' 11.2"" N","106°5' 10.5"" W",38.56977,-106.08625,GPS,WGS84,7540,FT,Bureau of Land Management,,,,,WEB,6-Oct-17,525 plants sampled,5000+,1.75,P,Pinus edulis:Juniperus scopulorum:Yucca glauca:Mirabilis multiflora:Chrysothamnus sp.:Cercocarpus montanus:Artemisia frigida:Opuntia sp.:Atriplex canescens:Aristida sp.,Fan terraces,0-5,N,"Near to Sandy Beach ecological site description (R048AY272CO), although actual point has no associated site descriptionaccording to Web Soil Survey. Area found in a poinion-juniper woodland in the 21d sub-ecoregion, Southern Rockies - Foothill Shrublands.","Rough broken land; parent material may be calcareous, moderatly course-textured alluvium.",Other : very gravelly sandy loam,"Leaves somewhat involute, especially when dried; inflorescence of dense, sessile spikelets in two rows, along one side of flattened rachis; papillose-based hairs on the nerve, and three-awned.",,Recreation - camping and hiking,NA,,"Palmer B. & Dawson C., BLM State Botanist:From pressed specimen on day of collection:19 SEP 2017","2:17 AUG 2017:Smithsonian, University of Colorado Boulder",,,2-Jan,7.5 YR 4/3; Brown,2
W6 55512,W6 55512 2018o SD,W6,55512,CO932-363,BOGR2-SOS-CO932-363-CLEARCREEK-17,0.016,0.0481,15088,3,2.411,2.411,2.411,941078,BOGR2,blue grama,Bouteloua,gracilis,,Bouteloua gracilis,,,,Bouteloua gracilis,BOUTELOUA,gracilis,POACEAE,BOGR2,20-Oct-17,2017,CO932-363,363,CO932,NA,,"Palmer B., Contento T., Birtwistle A.",US,21E,Southern Rockies (Omernik),Colorado,Clear Creek,Idaho Springs,1908 Wall Street,"From the BLM Lakewood State Office, head west on I-70. Follow I-70 until the first Idaho Springs exit; get off interstate at Colorado Blvd, taking exit 241A. At traffic circle, take 2nd exit. Continue on Colorado Blvd for 0.6 miles, then turn right onto 23rd Ave. Follow and continue as street turns left, onto Wall Street. Destination is on the right side after 0.2 miles. Population found on private property, up steep SE-facing hillside.","39°44' 39.56"" N","105°30' 44.35"" W",39.74432,-105.51231,GPS,WGS84,7610,FT,"Homeowner, Amy Birtwistle",,,,,WEB,20-Oct-17,255 plants sampled,600,0.15,P,Cercocarpus montanus:Juniperus scopulorum:Yucca glauca:Opuntia fragilis:Artemisia frigida:Verbascum thapsus:Hordeum jubatum:Bromus tectorum,"Mountain slopes, ridges",30-70,SE,"Stony Loam (R048AY237CO) to Mountain Loam (R048AY228CO); found on steep, open, SE-facing slope of the 21c ecoregion, Southern Rockies â€“ Crystalline mid-elevation forests.",Lone Rock-Breece gravelly sandy loams and Rock outcrop-Cathedral-Resort Complex; parent material is alluvium and/or slope alluvium derived from igneous and metamorphic rock.,Other : Gravelly sandy loam,"Leaves are involute when dry; inflorescence of dense, spikelets in two rows along a flattened rachis; papillose-based hairs on the nerve, 3-awned.",,Private Land,Residential area,,"Palmer & Dawson, BLM:From pressed specimen on day of collection:20 OCT 2017",1:20 OCT 2017:Smithsonian,,,2-Jan,10 YR 3/4; Brown,
W6 55513,W6 55513 2018o SD,W6,55513,CO932A-17,CACH7-SOS-CO932A-17-EAGLE-17,0.005,0.0137,16554,3,0.754,0.755,0.752,3286956,CACH7,northwestern Indian paintbrush,Castilleja,chromosa,,Castilleja chromosa,,,,Castilleja angustifolia var. dubia,CASTILLEJA,angustifolia,SCROPHULARIACEAE,CAAND,3-Jul-17,2017,CO932A-17,17,CO932A,NA,,"Ripley, N.",US,21E,Southern Rockies (Omernik),Colorado,Eagle,Eagle County Open Space (E Eagle),"Bellyache Road, near American Tower Corporation access gate","From Vail, head west on I-70. Get off interstate at exit 147, toward Eagle County Regional Airport. At traffic circle, take 3rd exit, onto Eby Creek Road. Stay on Eby Creek Rd until you pass over the Eagle River, at this traffic circle take 2nd exit onto Bluffs road, which will turn into E 2nd St. Follow until you are forced to turn; turn right, then immediately left, into Eagle County open space (Bellyache Road). Follow 1.3 miles up Bellyache Road. Road makes a strong right turn and the American Corp gate is on the left, population among Sagebrush-dominant community.","39°39' 37"" N","106°47' 54"" W",39.66027,-106.79833,GPS,WGS84,7310,FT,Bureau of Land Management,,,,,WEB,16-Nov-17,200 plants sampled,300,2,G,Penstemon watsonii:Artemisia tridentata ssp. vaseyana:Juniperus monosperma:Chrysothamnus sp.:Pinus edulis:Hedysarum boreale:Stanleya pinnata:Elymus elymoides:Achnatherum hymenoides:Penstemon caespitosus,Upland bench/structural benches,15-Oct,N,"Rolling loam (R048AY298CO); in 21d sub-ecoregion, Foothill Shrublands, a big mountain sagebrush upland gently sloping north. Mountain bike trail runs through middle of site.","Forelle-Brownstone complex, 50% Forelle and 35% Brownstone",Other : Clay Loam,Current family in Ackerfield flora is Orobanchaceae (USDA recognizes it as Scrophulariaceae and synonymous with C. angustifolia). Leaves linear to lanceolate with deep lateral lobes; stem leafy above root crown; bright red bracts.; = Castilleja chromosa,,"Recreation, Grazing",Grazed,,"Dawson C., BLM State Botanist:From pressed specimen on another date:06 JUL 2017","2:16 JUN 2017:Smithsonian, University of Colorado Boulder",,,1,10 YR 4/4,
W6 55514,W6 55514 2018o SD,W6,55514,CO932A-18,ASPA14-SOS-CO932A-18-EAGLE-17,0.0133,0.0999,5000,2,3.028,3.028,NA,453600,ASPA14,Patterson's milkvetch,Astragalus,pattersonii,,Astragalus pattersonii,,,,Astragalus pattersonii,ASTRAGALUS,pattersonii,FABACEAE,ASPA14,18-Jul-17,2017,CO932A-18,18,CO932A,NA,,"Ripley N., Bachman J.",US,21E,Southern Rockies (Omernik),Colorado,Eagle,Horse Mountain Road,CR-54,"Tkae Hwy 131 from Wolcott, then first left on Hwy4 signed Horse Mountain Ranch. Take a right fork onto CR-54 after the Bocco Mountain parking lot. Follow road about one more mile, population on NE side of road.","39°44' 57"" N","106°43' 30"" W",39.74916,-106.725,GPS,NAD83,7840,FT,Bureau of Land Management,,,,,WEB,16-Nov-17,138 plants sampled,500,4,P,Artemisia tridentata ssp. vaseyana:Chrysothamnus sp.:Agropyron cristatum,Upland Bench,15-Oct,"S, SW","Clayey Foothills (R058AY289CO); within 21d sub-ecoregion, Foothill Shrublands, big mountain sagebrush upland gently sloping","90% Kobar, borollic camborthids, terraces and alluvial fans","Silt, Other : Silty clay loam","White pea flowers, aging yellowish",,"Recreation, grazing",Grazed,,"Dawson C., BLM State Botanist; Palmer B, BLM:From pressed specimen on another date:19 JUN 2017",1:16 JUN 2017:Smithsonian,,,2,10 YR 3/3,2
W6 55515,W6 55515 2018o SD,W6,55515,CO932A-22,ARTRV-SOS-CO932A-22-EAGLE-17,0.0059,0.0261,6500,5,1.064,1.065,0.532,1731297,ARTRV,mountain big sagebrush,Artemisia,tridentata,spp.,Artemisia tridentata,vaseyana,,,Artemisia tridentata ssp. vaseyana,ARTEMISIA,tridentata,ASTERACEAE,ARTRV,25-Oct-17,2017,CO932A-22,22,CO932A,NA,,"Lee C., Courtens N., Ripley N.",US,21E,Southern Rockies (Omernik),Colorado,Eagle,BLM State Bridge,"Castle Peak, BLM Rd 2850",Take Hwy 131 North from Wolcott towards Steamboat. 2 miles before State Bridge take a BLM access road on the left. Follow dirt road about 1 mile.,"39°50' 21"" N","106°38' 57"" W",39.83916,-106.64916,GPS,NAD83,7710,FT,BLM,,,,,WEB,29-Nov-17,2000 plants sampled,infinite,4,P,Eriogonum umbellatum:Lupinus argenteus:Penstemon watsonii:Amelanchier alnifolia:Balsamorhiza sagittata:Rosa woodsii:Ericameria nauseosa ssp. consimilis var. oreophila:Bromus sp.,"Alluvial fans, valley sides, terraces",0-5,NE,"Loamy slopes (R048AY303CO) to Deep loam (R048AY292CO); in the 21d sub-ecoregion, Southern Rockies â€“ Foothill Shrublands, in the mountain sagebrush upland.","Showalter-Morval complex, parent material is alluvium derived from basalt.","Sand, Other : Stony loamy sand","Tomentose, aromatic, gray leaves and white flowers",,Sheep grazing,Grazed:deer/elk,,"Ripley N, Betty Ford Alpine Gardens:In Field:25 OCT 2017",1:25 OCT 2017:Smithsonian,,,3,7.5 YR 3/2; Dark Brown,
W6 55516,W6 55516 2018o SD,W6,55516,CO932A-23,ARTRV-SOS-CO932A-23-EAGLE-17,0.0047,0.0147,14503,3,0.709,0.71,0.711,3064864,ARTRV,mountain big sagebrush,Artemisia,tridentata,spp.,Artemisia tridentata,vaseyana,,,Artemisia tridentata ssp. vaseyana,ARTEMISIA,tridentata,ASTERACEAE,ARTRV,25-Oct-17,2017,CO932A-23,23,CO932A,NA,,"Lee C., Courtens N., Ripley N.",US,21E,Southern Rockies (Omernik),Colorado,Eagle,BLM State Bridge,State Bridge River Access on Colorado River,"Take Hwy 131 North from Wolcott towards Steamboat. Just before crossing Colorado River at State Bridge, boat launch and parking lot is on the right.","39°51' 28"" N","106°38' 55"" W",39.85777,-106.64861,GPS,NAD83,6870,FT,Bureau of Land Management,,,,,WEB,29-Nov-17,250 plants sampled,1000,2,P,Populus angustifolia:Juniperus scopulorum:Ericameria nauseosa:Bromus sp.,"Terraces, fans",0-5,S,"Rolling Loam (R048AY298CO); in the 21d sub eco-region, Foothill Shrublands, of mountain sagebrush upland along river.","Goslin fine sandy loam, parent material is alluvium derived from sandstone and shale.",Sand : Fine sandy loam,"Tomentose, aromatic, gray leaves and white flowers",,Recreation,Trampled:Plants surrounded by busy parking lot,,"Ripley N, Betty Ford Alpine Garden:In Field:25 OCT 2017",1:25 OCT 2017:Smithsonian,,,6,7.5 YR 3/2; Dark Brown,2
W6 55517,W6 55517 2018o SD,W6,55517,CP2-144,LUAR3-SOS-CP2-144-RICH-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,20966,LUAR3,silvery lupine,Lupinus,argenteus,,Lupinus argenteus,,,,Lupinus argenteus,LUPINUS,argenteus,FABACEAE,LUAR3,13-Jul-17,2017,CP2-144,144,CP2,GSG-1,,"Chapman A., Spencer C.,",US,18E,Wyoming Basin (Omernik),Utah,Rich,BLM,TRI 12,"From the Junction of HWY 30 and HWY16 (north of Randolph, UT) head west on HWY 30 towards Bear Lake for ~7.7 miles to Otter Creek Rd, which is across the street from a brake check stop. Head south on Otter Crk. for ~2miles to a Y in the road. Park here. The population is ~50m east of road.","41°46' 43.4"" N","111°16' 8.6"" W",41.77872,-111.26905,GPS,NAD83,7186,FT,BLM,,,17-Jul-17,7/13/2017-7/21/2017,WEB,2-Oct-17,213 plants sampled,<2000,1,P,Artemisia tridentata:Calochortus nuttallii:Eriogonum umbellatum:Castilleja chromosa:Chrysothamnus depressus,Butte,5,"NE, E",Sage Shrubland,"Alluvium, Colluvium",Clay,,,"Grazing, BLM",Grazed,,Red Butte Garden:In Field:04 JUL 2017,"3:04 JUL 2017:Smithsonian, Garrett Herbarium (Natural History Museum of Utah), Brigham Young University",,,1,5/4 Reddish Brown,2
W6 55518,W6 55518 2018o SD,W6,55518,CP2-145,ERUM-SOS-CP2-145-RICH-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,285283,ERUM,sulphur-flower buckwheat,Eriogonum,umbellatum,,Eriogonum umbellatum,,,,Eriogonum umbellatum,ERIOGONUM,umbellatum,POLYGONACEAE,ERUM,26-Jul-17,2017,CP2-145,145,CP2,,,"Chapman A., Spencer C.",US,18E,Wyoming Basin (Omernik),Utah,Rich,BLM,TRI 12,"From the Junction of HWY 30 and HWY16 (north of Randolph, UT) head west on HWY 30 towards Bear Lake for ~7.7 miles to Otter Creek Rd, which is across the street from a brake check stop. Head south on Otter Crk. for ~2miles to a Y in the road. Park here. The population is ~50m east of road.","41°46' 43.4"" N","111°16' 8.6"" W",41.77872,-111.26905,GPS,NAD83,7186,FT,BLM,,,,7/26/2017,WEB,2-Oct-17,145 plants sampled,500-1500,1,P,Lupinus argenteus:Artemisia tridentata:Artemisia arbuscula:Antennaria microphylla,Butte,5,"NE, E",Sage Shrubland,"Alluvium, Colluvium",Clay,,,"Grazing, BLM",Grazed,,Red Butte Garden:In Field:31 MAY 2017,"3:26 JUL 2017:Smithsonian, Garrett Museum (Natural History Museum of Utah), Brigham Young University,",,,1,Reddish Brown,2
W6 55519,W6 55519 2018o SD,W6,55519,CP2-146,ERUM-SOS-CP2-146-RICH-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,191392,ERUM,sulphur-flower buckwheat,Eriogonum,umbellatum,,Eriogonum umbellatum,,,,Eriogonum umbellatum,ERIOGONUM,umbellatum,POLYGONACEAE,ERUM,26-Jul-17,2017,CP2-146,146,CP2,,,"Chapman A., Spencer C.",US,18E,Wyoming Basin (Omernik),Utah,Rich,BLM,TRI 12,"From the Junction of Hwy 30 and 16, (NOrth of Randolph, UT) Head west on the 30 towards Bear Lake for 7.7miles. Turn south on Otter Creek Road (large Public Lands Sign). Continue for ~6miles making sure to stay on otter creek road (keeping right at obvious forks). Population is up the hill to the south of the rd. Large wire ""basket"" is on the hill and can be seen from road.","41°45' 14.9"" N","111°18' 16.3"" W",41.75413,-111.30452,GPS,NAD83,6986,FT,BLM,,,,7/26/2017,WEB,2-Oct-17,160 plants sampled,500-1500,1,P,Lupinus argenteus:Artemisia tridentata:Artemisia arbuscula:Tetradymia axillaris:Calochortus nuttallii:Calochortus nuttallii,Knoll,18,,Sage Shrubland,"Alluvium, Colluvium",Clay,,,"Grazing, BLM",Grazed,,Bruce Pavlik Red Butte Garden:In Field:31 MAY 2017,"3:26 JUL 2017:Smithsonian, Garrett Museum (Natural History Museum of Utah), Brigham Young University",,,1,Reddish Brown,2
W6 55520,W6 55520 2018o SD,W6,55520,CP2-147,ERHE2-SOS-CP2-147-BOXELDER-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,187903,ERHE2,parsnipflower buckwheat,Eriogonum,heracleoides,,Eriogonum heracleoides,,,,Eriogonum heracleoides,ERIOGONUM,heracleoides,POLYGONACEAE,ERHE2,31-Jul-17,2017,CP2-147,147,CP2,,,"Chapman A., Spencer C.",US,13E,Central Basin and Range (Omernik),Utah,Box Elder,BLM,,"From Lynn, UT take Cotton Thomas Rd to the apex of the hill at the Junction with Cotton Thomas Basin Rd. Population is to the west of the road.","41°51' 7.9"" N","113°47' 29.7"" W",41.85219,-113.79158,GPS,NAD83,6747,FT,BLM,,,,,WEB,2-Oct-17,50,500-5000,0.25,P,Symphoricarpos oreophilus var. utahensis:Lupinus argenteus:Artemisia tridentata:Senecio integerrimus:Senecio integerrimus,Bank of road,30,"NE, E",road slope and grazing fence,"Alluvium, Mudstone",Sand,,,BLM,Road Side,,Bruce Pavlik - Red Butte Gardens:In Field:31 MAY 2017,"3:31 JUL 2017:Smithsonian, Garrett Museum (Natural History Museum of Utah), Brigham Young University",,,1,Reddish Brown,2
W6 55521,W6 55521 2018o SD,W6,55521,CP2-148,ACMI2-SOS-CP2-148-WASATCH-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,4361538,ACMI2,common yarrow (western yarrow),Achillea,millefolium,,Achillea millefolium,,,,Achillea millefolium,ACHILLEA,millefolium,ASTERACEAE,ACMI2,7-Aug-17,2017,CP2-148,148,CP2,,,"Chapman, A; Spencer, C",US,19E,Wasatch and Uinta Mountains (Omernik),Utah,Wasatch,NSF,Mud Creek,"From Heber, UT hop on HWY 40 towards Strawberry Reservoir and turn right on FR 131 towards the Marina. after 2.7 miles turn right onto Mud Creek Road (FR #150) and continue for .2miles to a large camping site. Population is 10m to the South and continues for ~100m around the area.","40°12' 9"" N","111°11' 37"" W",40.2025,-111.19361,GPS,NAD83,7690,FT,NSF,,,,,WEB,2-Oct-17,150,500-5000,1,P,Artemisia tridentata:Eriogonum heracleoides:Potentilla gracilis:Potentilla fruticosa:Chrysothamnus depressus,knoll,7,"S, SW",sagebrush basin,Alluvium,Clay,,,recreational,,,Sarah Barlow:In Field:07 AUG 2017,"3:07 AUG 2017:Smithsonian, Brigham Young University, Garrett Herbarium (Natural History Museum of Utah)",,,1,light brown,2
W6 55522,W6 55522 2018o SD,W6,55522,CP2-149,ERHE2-SOS-CP2-149-WASATCH-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,191715,ERHE2,parsnipflower buckwheat,Eriogonum,heracleoides,,Eriogonum heracleoides,,,,Eriogonum heracleoides,ERIOGONUM,heracleoides,POLYGONACEAE,ERHE2,7-Aug-17,2017,CP2-149,149,CP2,,,"Chapman, A.; Spencer, C.",US,19E,Wasatch and Uinta Mountains (Omernik),Utah,Wasatch,NSF,NSF,"From Heber, UT hop on HWY 40 towards Strawberry Reservoir and turn right on FR 131 towards the Marina. After 2.7 miles turn right onto Mud Creek Road (FR #150) and continue for .2miles. Population is south of a large camping pullout.","40°12' 9"" N","111°11' 37"" W",40.2025,-111.19361,GPS,NAD83,7690,FT,NSF,,,,,WEB,2-Oct-17,250 plants sampled,500-5000,1,P,Artemisia tridentata:Potentilla fruticosa:Achillea lanulosa:Achillea millefolium:Potentilla gracilis:Chrysothamnus depressus,knoll,7,"S, SW",Sagebrush basin,Alluvium,Clay,,,Recreation,,,Bruce Pavlik-Red Butte Garden:From pressed specimen on day of collection:07 AUG 2017,"3:07 AUG 2017:Smithsonian, Brigham Young University, Garrett Herbarium (Natural History Museum of Utah)",,,1,light brown,
W6 55523,W6 55523 2018o SD,W6,55523,CP2-150,POGR9-SOS-CP2-150-WASATCH-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,2201941,POGR9,slender cinquefoil,Potentilla,gracilis,,Potentilla gracilis,,,,Potentilla gracilis,POTENTILLA,gracilis,ROSACEAE,POGR9,7-Aug-17,2017,CP2-150,150,CP2,,,"Chapman, A.; Spencer, C.",US,19E,Wasatch and Uinta Mountains (Omernik),Utah,Wasatch,NSF,NSF,"From Heber, UT hop on HWY 40 towards Strawberry Reservoir and turn right on FR 131 towards the Marina. after 2.7 miles turn right onto Mud Creek Road (FR #150) and continue for .2miles. Population is south of a large camping pullout.","40°12' 9"" N","111°11' 37"" W",40.2025,-111.19361,GPS,NAD83,7690,FT,NSF,,,,,WEB,2-Oct-17,150 plants sampled,500-5000,1,P,Potentilla fruticosa:Artemisia tridentata:Achillea millefolium:Eriogonum heracleoides,knoll,7,"S, SW",Sagebrush basin,alluvium,Clay,Red Stem,,Recreation,,,Bruce Pavlik-Red Butte Garden:From pressed specimen on day of collection:07 AUG 2017,"3:07 AUG 2017:Smithsonian, Brigham Young University, Garrett Museum (Natural History Museum of Utah)",,,1,light brown,2
W6 55524,W6 55524 2018o SD,W6,55524,CP2-151,ACMI2-SOS-CP2-151-WASATCH-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,3780000,ACMI2,common yarrow (western yarrow),Achillea,millefolium,,Achillea millefolium,,,,Achillea millefolium,ACHILLEA,millefolium,ASTERACEAE,ACMI2,7-Aug-17,2017,CP2-151,151,CP2,,,"Chapman, A.; Spencer, C.",US,19E,Wasatch and Uinta Mountains (Omernik),Utah,Wasatch,National Forest Service,Squaw Creek,"From Heber, UT hop on HWy 40 towards Strawberry Reservoir until reaching the Strawberry Res turnoff to the Marina (FR#131). Turn right on Fr 131 and drive for 11.6 miles to Squaw Creek Rd (FR#110). At the T continue North on FR #110 for .9 miles. Population is on south side of road.","40°08' 07.7"" N","111°11' 21.3"" W",40.13547,-111.18925,GPS,NAD83,7690,FT,National Forest Service,,,,,WEB,2-Oct-17,71 plants sampled,500-5000,1,P,Artemisia tridentata:Salix exigua:Potentilla gracilis:Lupinus argenteus,basin,3,"N, NE, NW",,alluvium,"Clay, Silt",,,recreation,,,Bruce Pavlik - Red Butte Garden:From pressed specimen on day of collection:07 AUG 2017,"3:07 AUG 2017:Smithsonian, Brigham Young University, Garrett Museum (Natural History Museum of Utah)",,,1,dark brown,2
W6 55525,W6 55525 2018o SD,W6,55525,CP3-1,LILE3-SOS-CP3-1-IRON-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,257172,LILE3,Lewis flax (prairie),Linum,lewisii,,Linum lewisii,,,,Linum lewisii,LINUM,lewisii,LINACEAE,LILE3,12-Jun-17,2017,CP3-1,1,CP3,Marabella 17-001,,"JBG, ANM, JAM, RMO",US,13E,Central Basin and Range (Omernik),Utah,Iron,BLM area,Parowan Gap,"From Cedar City, UT, drive N. on Hwy 130 to Parowan Gap. Site begings on both sides of the road about 500 yards N. of the Parowan Gap Road.","37°55' 35.23"" N","113°1' 58.58"" W",37.92645,-113.03293,GPS,NAD83,5624,FT,BLM,,,,,WEB,23-Aug-17,1000 plants sampled,3000,1,P,Artemisia nova:Astragalus lentiginosus:Sphaeralcea parvifolia,Flat,0,NW,Sagebrush steppe valley floor,Sandstone,Sand,Flowers are white with blue streaks to pale blue in color. Each stem has several flowers. Leaves are narrow and around 3/4 inches long.,,Grazing,Grazed,,"R. M. Ogburn, SUU:In Field:23 MAY 2017","3:25 MAY 2017:Smithsonian, SUU, Chicago Botanic Garden",,,1.5,5 YR 6/2,2
W6 55526,W6 55526 2018o SD,W6,55526,CP3-11,PELA15-SOS-CP3-11-KANE-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,622734,PELA15,southwestern beardtounge,Penstemon,laevis,,Penstemon laevis,,,,Penstemon laevis,PENSTEMON,laevis,SCROPHULARIACEAE,PELA15,8-Aug-17,2017,CP3-11,11,CP3,Marabella 17.007,,"ANM, JAM",US,20E,Colorado Plateau (Omernik),Utah,Kane,Kinnikinnic Spring,Yellowjacket,"From 300 W 300 N in Kanab, drive 6.97 miles North on US-89. Turn left (W) on Hancock Rd and drive 2.15 miles. Turn right (NW) onto the dirt road and drive 0.37 miles. Plants are on the W side of the road.","37°8' 14.29"" N","112°36' 22.22"" W",37.1373,-112.60617,GPS,NAD83,5867,FT,BLM,,,15-Aug-17,,WEB,10-Nov-17,75 plants sampled,115,1,P,Bromus tectorum:Bouteloua gracilis:Artemisia sp.:Artemisia sp.,Flat,0,,Colorado Plateau Semiarid Benchlands and Canyonlands,Sandstone,Clay,Light purple-blue flowers with fused petals. Seed pods are red and round.,,Grazing,Grazed,,"R.M. Ogburn, SUU:From pressed specimen on another date:15 JUN 2017","3:07 JUN 2017:Smithsonian, SUU, Chicago Botanic Garden",,,1.5,2.5 YR 5/6,2
W6 55527,W6 55527 2018o SD,W6,55527,CP3-12,SPPA2-SOS-CP3-12-KANE-17,Dup Entry,Dup Entry,Dup Entry,Deaccession,Deaccession,Deaccession,Deaccession,512310,SPPA2,small-leaf globemallow,Sphaeralcea,parvifolia,,Sphaeralcea parvifolia,,,,Sphaeralcea parvifolia,SPHAERALCEA,parvifolia,MALVACEAE,SPPA2,11-Jul-17,2017,CP3-12,12,CP3,Marabella 17.008,,"ANM, JAM",US,20E,Colorado Plateau (Omernik),Utah,Kane,Lower Hog Canyon,Lower Hog Canyon,"From 300 W 300 N in Kanab, drive 1.24 miles North on US-89. Turn right (east) onto the dirt road and drive 0.30 miles. Plants are on both sides of the road.","37°4' 9.05"" N","112°31' 59.68"" W",37.06918,-112.53324,GPS,NAD83,5036,FT,State of Utah,,,13-Jul-17,,WEB,10-Nov-17,260 plants sampled,450,1,P,Cleome lutea:Bromus tectorum:Cleome serrulata:Machaeranthera tanacetifolia,Flat,0,,Colorado Plateau Escarpments,Sandstone,Sand,"Grenadine (light medium-orange) colored flowers with five petals surrounding a yellow center. Light green leaves and light green, juvenile seed pods.",,Recreation,None,,"R.M. Ogburn, SUU:From pressed specimen on another date:16 JUN 2017","3:07 JUN 2017:Smithsonian, SUU, Chicago Botanic Garden",,,2.5,2.5 YR 6/6,1
