Source Lot,Source Code,Lbs Shipped,Seeds/Lb,100-Seed Wt (G),Species Code,Common Name,Genus,Species,label ss,SubSpecies,label var,Variety,NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR
'SOS-AZ930-382,SPCR-SOS-AZ930-382-SANTA CRUZ-18,0.0026,4311787,0.0105,SPCR,sand dropseed,Sporobolus,cryptandrus,,,,,Sporobolus cryptandrus,POACEAE,SPCR,2-Oct-18,AZ930-382,382,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, occuring on ridgelines, hillsides and in lowlands. Occurs in dense patches. Accessible from Tanglehead Lane.","31°33' 48.5"" N","110°44' 10.3"" W",31.56347,-110.73619,GPS,NAD83,4170,FT,Private,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Isocoma tenuisecta:Yucca baccata:Bouteloua gracilis,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,Wildlife Preserve,"Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded",Silt : Loam,80 plants sampled,100,1,P,,,Allegra Mount:In Field:02 OCT 2018,"3:02 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,4,7.5 YR 4/2,22-Nov-18,SPOROBOLUS,cryptandrus,2018
'SOS-AZ930-383,BOCU-SOS-AZ930-383-SANTA CRUZ-18,0.145,231901,0.1955,BOCU,sideoats grama,Bouteloua,curtipendula,,,,,Bouteloua curtipendula,POACEAE,BOCU,2-Oct-18,AZ930-383,383,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Zach Farley, Andrew Botz",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Continues throughout property. Accessible from Tanglehead Lane.","31°33' 48.5"" N","110°44' 10.3"" W",31.56347,-110.73619,GPS,NAD83,4220,FT,Private,Bouteloua curtipendula:Bouteloua gracilis:Isocoma tenuisecta:Yucca baccata:Panicum obtusum:Hilaria belangeri,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,Wildlife Preserve,"Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded",Silt : Loam,485 plants sampled,"1,000+",1,P,,,Allegra Mount:In Field:02 OCT 2018,"3:02 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,3-Feb,7.5YR 4/2,22-Nov-18,BOUTELOUA,curtipendula,2018
'SOS-AZ930-384,BOGR2-SOS-AZ9930-384-SANTA CRUZ-18,0.02,887323,0.0511,BOGR2,blue grama,Bouteloua,gracilis,,,,,Bouteloua gracilis,POACEAE,BOGR2,1-Oct-18,AZ930-384,384,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Zach Farley, Andrew Botz",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, occuring on ridgelines, hillsides and in lowlands. Occurs in dense patches. Accessible from Tanglehead Lane.","31°33' 48.5"" N","110°44' 10.3"" W",31.56347,-110.73619,GPS,,4220,FT,Private,Bouteloua curtipendula:Isocoma tenuisecta:Kallstroemia grandiflora:Prosopis velutina:Hilaria belangeri,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,Wildlife Preserve,"Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded","Silt, Other : Loam",175 plants sampled,560,2,P,,,Allegra Mount:In Field:01 OCT 2018,"3:01 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,2,7.5 YR 4/2,22-Nov-18,BOUTELOUA,gracilis,2018
'SOS-AZ930-385,BOGR2-SOS-AZ930-385-COCHISE-18,0.04,977586,0.0463,BOGR2,blue grama,Bouteloua,gracilis,,,,,Bouteloua gracilis,POACEAE,BOGR2,5-Oct-18,AZ930-385,385,AZ930,,"Allegra Mount, Perin McNelis",US,79E,Madrean Archipelago (Omernik),Arizona,Cochise,Swisshelm Mountains,Barboot Ranch,Permission required to access site. Access gate on west side of Leslie Canyon Road takes you to population near cattle tank and bull pen. 0.25 miles from Leslie Canyon Rd.,"31°40' 58"" N","109°28' 33.5"" W",31.68277,-109.47597,GPS,NAD83,4919,FT,Private,Bouteloua curtipendula:Bouteloua hirsuta:Bouteloua eriopoda:Leptochloa dubia:Prosopis velutina,Burned:Grazed,"Hills, Slopes",0-10,,Rangeland,Grazing,"Loam, 10-40 degrees",Other : Rocky,164 plants sampled,290,1.5,P,,,Allegra Mount:In Field:05 OCT 2018,3:05 OCT 2018:,,,,,1,,WEB,1.5,7.5YR 8/2,22-Nov-18,BOUTELOUA,gracilis,2018
'SOS-AZ930-386,BOHI2-SOS-AZ930-386-SANTA CRUZ-18,0.024,1064788,0.0425,BOHI2,hairy grama,Bouteloua,hirsuta,,,,,Bouteloua hirsuta,POACEAE,BOHI2,2-Oct-18,AZ930-386,386,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Travis Gerckens, Andrew Botz, Zach Farley",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Smith Canyon,"On private land maintained as a wildlife sanctuary. 0.45 mi from Highway 82, in Smith Canyon. Key access required. Near access road to Smith Canyon.","31°34' 42.4"" N","110°44' 6.1"" W",31.57844,-110.73502,GPS,NAD83,4286,FT,Private,Bouteloua curtipendula:Prosopis velutina:Bouteloua gracilis:Leptochloa dubia:Bouteloua eriopoda:Isocoma tenuisecta,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,Wildlife Preserve,"Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded",Silt : Loam,73 plants sampled,90,0.5,P,,,Allegra Mount:In Field:02 OCT 2018,"3:02 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,1,7.5YR 4/2,22-Nov-18,BOUTELOUA,hirsuta,2018
'SOS-AZ930-387,PSLE4-SOS-AZ930-387-SANTA CRUZ-18,0.0026,14632258,0.003,PSLE4,white cudweed,Pseudognaphalium,leucocephalum,,,,,Pseudognaphalium leucocephalum,ASTERACEAE,PSLE4,2-Oct-18,AZ930-387,387,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Travis Gerckens, Andrew Botz, Zach Farley",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Smith Canyon,"On private land maintained as a wildlife sanctuary. 0.45 mi from Highway 82, in Smith Canyon, in first drainage encountered when accessing from road. Key access required.","31°34' 42.4"" N","110°44' 6.1"" W",31.57844,-110.73502,,NAD83,4286,FT,Private,Bouteloua curtipendula:Prosopis velutina:Bouteloua gracilis:Polanisia dodecandra:Kallstroemia grandiflora:Bouteloua eriopoda,Flooded,Floodplains,0-5,,Semidesert Grassland-Shrubland,Wildlife Preserve,"Comoro soils, 0-5 percent slopes",Sand,160 plants sampled,275,0.5,P,Flowers white/yellow,,Allegra Mount:In Field:02 OCT 2018,"3:02 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,2,7.5YR 5/2,22-Nov-18,PSEUDOGNAPHALIUM,leucocephalum,2018
'SOS-AZ930-388,KAGR-SOS-AZ930-388-SANTA CRUZ-18,0.0903,127846,0.3547,KAGR,Arizona poppy,Kallstroemia,grandiflora,,,,,Kallstroemia grandiflora,ZYGOPHYLLACEAE,KAGR,1-Oct-18,AZ930-388,388,AZ930,,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Travis Gerckens, Andrew Botz, Zach Farley",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Santa Rita Mountains,Steven's Canyon,"On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on steep south-facing slopes accessible from Tanglehead Lane.","31°33' 48.5"" N","110°44' 10.3"" W",31.56347,-110.73619,GPS,NAD83,4220,FT,Private,Bouteloua curtipendula:Isocoma tenuisecta:Bouteloua gracilis:Prosopis velutina:Yucca baccata:Hilaria belangeri,,Loamy Bottom,10-May,,Semidesert Grassland-Shrubland,Wildlife Preserve,"Caralampi gravelly sandy loam, 10 to 60 percent slopes, eroded",,85 plants sampled,250,2.5,,Flowers orange,,Allegra Mount:In Field:01 OCT 2018,"3:01 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,1,,WEB,2,7.5 YR 4/2,22-Nov-18,KALLSTROEMIA,grandiflora,2018
'SOS-AZ930-389,SPCR-SOS-AZ930-389-SANTA CRUZ-18,0.0026,4303605,0.0105,SPCR,sand dropseed,Sporobolus,cryptandrus,,,,,Sporobolus cryptandrus,POACEAE,SPCR,3-Oct-18,AZ930-389,389,AZ930,,"Perin McNelis, Travis Gerckens, Andrew Botz, Zach Farley, Alyssa Navarette",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Las Cienegas National Conservation Area (NCA),,"Population accessible from main road at south entrance intersection with Hwy 82, near Cienega Creek and on nearby flats and ridgelines.","31°43' 26.2"" N","110°34' 52.8"" W",31.72394,-110.58133,GPS,NAD83,4671,FT,BLM,Bouteloua curtipendula:Aristida ternipes:Pleuraphis mutica:Panicum obtusum:Eragrostis lehmanniana:Xanthium strumarium,Grazed,"Limy Upland, Loamy Bottom",0-10,,Semidesert Grassland-Shrubland; Rangeland,Grazing,"Bernardino-Tombstone association, 5 to 16 percent slopes","Silt, Other : Loam",75 plants sampled,180,1,P,,,Perin McNelis:In Field:03 OCT 2018,"3:03 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,2,,WEB,2,5 YR 5/2,22-Nov-18,SPOROBOLUS,cryptandrus,2018
'SOS-AZ930-391,ARAD-SOS-AZ930-391-SANTA CRUZ-18,0.0122,1021621,0.0443,ARAD,sixweeks threeawn,Aristida,adscensionis,,,,,Aristida adscensionis,POACEAE,ARAD,3-Oct-18,AZ930-391,391,AZ930,,"Perin McNelis, Travis Gerckens, Andrew Botz, Zach Farley, Alyssa Navarette",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Las Cienegas NCA,,"Population accessible from main road at south entrance intersection with Hwy 82, near Cienega Creek and on nearby flats and ridgelines.","31°43' 26.2"" N","110°34' 52.8"" W",31.72394,-110.58133,GPS,NAD83,4671,FT,BLM,:Aristida ternipes:Prosopis velutina:Eragrostis lehmanniana:Bouteloua curtipendula:Xanthium strumarium:Panicum obtusum,Grazed,"Limy Upland, Loamy Bottom",0-10,,Semidesert Grassland-Shrubland; Rangeland,Grazing,"Bernardino-Tombstone association, 5 to 16 percent slopes","Silt, Other : Loam",100 plants sampled,100,0.5,P,Annual,,Perin McNelis:In Field:03 OCT 2018,"3:03 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,,,WEB,1.5,5YR 5/2,22-Nov-18,ARISTIDA,adscensionis,2018
'SOS-AZ930-392,BOCU-SOS-AZ930-392-SANTA CRUZ-18,0.182,193021,0.2349,BOCU,sideoats grama,Bouteloua,curtipendula,,,,,Bouteloua curtipendula,POACEAE,BOCU,3-Oct-18,AZ930-392,392,AZ930,,"Perin McNelis, Travis Gerckens, Andrew Botz, Zach Farley, Alyssa Navarette",US,79E,Madrean Archipelago (Omernik),Arizona,Santa Cruz,Las Cienegas NCA,,"Population accessible from main road at south entrance intersection with Hwy 82, near Cienega Creek and on nearby flats and ridgelines.","31°43' 26.2"" N","110°34' 52.8"" W",31.72394,-110.58133,GPS,,4671,FT,BLM,Bouteloua curtipendula:Pleuraphis mutica:Prosopis velutina:Aristida ternipes:Eragrostis lehmanniana:Xanthium strumarium:Panicum obtusum,Grazed,"Limy Upland, Loamy Bottom",0-10,,Semidesert Grassland-Shrubland; Rangeland,Grazing,"Bernardino-Tombstone association, 5 to 16 percent slopes",Silt : Loam,276 plants sampled,500,1,,,,Allegra Mount:From pressed specimen on day of collection:03 OCT 2018,"3:03 OCT 2018:BLM Arizona, Smithsonian, University of Arizona (ARIZ)",,,,,,,WEB,2,5 YR 5/2,22-Nov-18,BOUTELOUA,curtipendula,2018
