Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Pseudognaphalium obtusifolium,NA,NA,Wild material,NA,"˚bright white bulb opens into inflorescence, leaves velvety, greyish and asymmetrical˚",10-Nov-17,"United States, Rhode Island, Newport","United States, Idaho",51 plants sampled,Wild Habitat,Flooded,Pluchea odorata:Hibiscus moscheutos:Euthamia graminifolia:Solidago sempervirens,"Sub Unit Description :Goosewing Beach Preserve/ Geology Description : Quicksand Pond/ Locality Description: From Boston, head south on 93. Take exit 4 for MA-24-S. Drive for 35+ miles and briefly merge onto I-95-E. Take exit 10 for MA-88 and follow MA-88 for about 7 miles. Turn right onto Hixbridge Rd, turn right onto Main Rd, turn left onto Adamsville Rd and enter Rhode Island. Follow for about 4 miles then turn left onto Long Hwy. After about 3 miles, turn left onto South Shore Rd and follow to the end to find the beach parking, actually located on South Shore Beach. Drive to the end of the beach and park. Follow through the meadow toward the sand trail. The population is located near the front of the salt marsh area toward the left.",0.6096,41.49522,-71.1348,"NAD83",Lat/lon determined by GPS,"Kang, K.; Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,"Clay, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-898,Collector identifier,NA,267,Other or unclassified name,NA,NA,2:10 NOV 2017:Smithsonian ˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:10 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Rhus copallinum,NA,NA,Wild material,NA,"˚winged rachis, fruits exude sticky sap that may cause numbness when exposed to bare skin˚",14-Nov-17,"United States, Rhode Island, NA","United States, Idaho",51 plants sampled,Wild Habitat,NA,Baccharis halimifolia:Iva frutescens:Phragmites australis:Eragrostis spectabilis:Toxicodendron radicans,"Sub Unit Description :Quonochontaug Boat Ramp/ Geology Description : Roadside/ Locality Description: From Boston, take 93-S to 95-S past Providence and Warwick to RI-4 S. RI-4 becomes US-1 S in Kingstown. After about 22 miles on US-1 S, turn right onto Old Post Rd to facilitate taking a left onto W Beach Rd. Follow the road, hugging and curving right all the way to the boat ramp. The population can be found along the road.",0.9144000000000001,41.33391,-71.71861,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Sand,"Clay, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-908,Collector identifier,NA,277,Other or unclassified name,NA,NA,2:14 NOV 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:14 NOV 2017,NA
NA,W6,NA,W6,NA,NA,SD,Decodon verticillatus,NA,NA,Wild material,NA,NA,20-Sep-16,"United States, Maryland, Caroline","United States, Idaho",50 plants sampled,Wild Habitat,NA,Hibiscus moscheutos:Leersia oryzoides:Rosa palustris:Salix nigra:Cornus amomum:Lobelia cardinalis:Saururus cernuus,"Sub Unit Description :Tuckahoe State Park/ Geology Description : Tuckahoe Creek/Lake Tuckahoe/ Locality Description: From Lake Tuckahoe parking area, go to kayak launch, kayak to the right following route toward Tuckahoe Creek. Population on both sides.",4.572,38.96938,-75.93877,"NAD83",Lat/lon determined by GPS,"Dakar, J., Faucette, A., Flood, M., Walker, S.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Sand,Other : Silt loam,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-532,Collector identifier,NA,ALF-534,Other or unclassified name,NA,NA,"2:20 SEP 2016:NCU, US",NA,J. Dakar - NCBG:In Field:20 SEP 2016,NA
NA,W6,NA,W6,NA,NA,SD,Panicum amarum,NA,NA,Wild material,NA,NA,28-Sep-16,"United States, Virginia, Virginia Beach","United States, Idaho",80 plants sampled,Wild Habitat,NA,Cenchrus tribuloides:Uniola paniculata:Ammophila breviligulata:Solidago sempervirens:Schizachyrium scoparium,"Sub Unit Description :First Landing State Park/ Geology Description : Dunes by Visitor's Center/ Locality Description: From VA Beach, take Atlantic Ave 7.4 miles, turn right into Park, then left to Visitor's Center. Population is along dunes to right of Visitor's Center, after boardwalk.",0,36.92,-76.05333,WGS84,Lat/lon determined by GPS,"Healy, C., Walker, S., Flood, M.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Silt,Other : Fine Sand,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-560,Collector identifier,NA,CH-10,Other or unclassified name,NA,NA,"2:28 SEP 2016:NCU, US",NA,C. Healy-NCBG:In Field:28 SEP 2016,NA
NA,W6,NA,W6,NA,NA,SD,Triadenum virginicum,NA,NA,Wild material,NA,NA,3-Oct-16,"United States, Maryland, Anne Arundel","United States, Idaho",93 plants sampled,Wild Habitat,NA,Hypericum sp.:Spiranthes sp.:Rhexia mariana:Rhexia virginica:Agalinis purpurea:Fimbristylis autumnalis:Xyris difformis,"Sub Unit Description :Patuxent Research Refuge/ Geology Description : New Marsh/ Locality Description: From visitor center, turn right at T, continue on Wildlife Loop for 5 miles. Population around second pond.",25.6032,39.05802,-76.74144,"NAD83",Lat/lon determined by GPS,"Dakar, J., Faucette, A.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Sand,Other : Sandy loam,Southeastern Plains,Southeastern Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-559,Collector identifier,NA,JD-192,Other or unclassified name,NA,NA,"2:03 OCT 2016:NCU, US",NA,A. Faucette - NCBG:In Field:03 OCT 2016,NA
NA,W6,NA,W6,NA,NA,SD,Schoenoplectus tabernaemontani,NA,NA,Wild material,NA,"Stems fleshy, easily compressed. Inflorescence/seed heads nodding and terminal, sometimes apparently surpassed by involucral bract˚",29-Aug-17,"United States, Rhode Island, Newport","United States, Idaho",657 plants sampled,Wild Habitat,Flooded,Bolboschoenus maritimus:Schoenoplectus americanus:Pluchea odorata:Ammophila breviligulata:Morella caroliniensis:Cyperus sp.,"Sub Unit Description :Goosewing Beach Preserve/ Geology Description : Quicksand Pond/ Locality Description: From Boston, head south on 93. Take exit 4 for MA-24-S. Drive for 35+ miles and briefly merge onto I-95-E. Take exit 10 for MA-88 and follow MA-88 for about 7 miles. Turn right onto Hixbridge Rd, turn right onto Main Rd, turn left onto Adamsville Rd and enter Rhode Island. Follow for about 4 miles then turn left onto Long Hwy. After about 3 miles, turn left onto South Shore Rd and follow to the end to find the beach parking, actually located on South Shore Beach. Drive to the end of the beach and park. Follow through the meadow toward the sand trail. Turn left to head toward the salt marsh area. The population is along the back shore.",1.2192,41.49522,-71.1348,"NAD83",Lat/lon determined by GPS,"Cecil, A.; Estevez, C.; Kang, K.;Tokarz, E.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Unspecified,"Clay, Sand",Northeastern Coastal Zone,Northeastern Coastal Zone (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-691,Collector identifier,NA,60,Other or unclassified name,NA,NA,2:29 AUG 2017:Smithsonian˚New England Wild Flower Society,NA,M. Piantedosi - NEWFS:In Field:29 AUG 2017,NA
NA,W6,NA,W6,NA,NA,SD,Carex crinita,NA,NA,Wild material,NA,"Sharp pointed perigynia that will prick upon contact in a spike about 2-4"" long, dangling in groups of 1-5 from stem on long peduncle.",1-Sep-17,"United States, Massachusetts, Hampshire","United States, Idaho",315,Wild Habitat,Mowed,Solidago sp.:Carex scoparia var. scoparia:Juncus effusus:Carex lurida:Populus tremuloides,"Sub Unit Description :Guyette Farm, Plainfield/ Geology Description : Guyette meadow/ Locality Description: Take 91 north to Exit 19; follow signs to Route 9 towards Northampton/Amherst, navigate west/northwest through Northampton (Damon Rd, Bridge Rd, Main St); Follow Route 9 west for about 12 miles; Turn right onto Shaw Road, left onto Stage Road, stay on this for about 2 miles, right onto Nash Road (this will change names to South St), at T-intersection turn left onto Gloyd St; park at the 1st dirt parking lot on your left (there is now a big sign that says Guyette Farm on the left); plant population is in a meadow a little less than a mile down the trail through the woods.",384.9624,42.48563,-72.89522,"NAD83",Lat/lon determined by GPS,"Tokarz, E.; Cecil, A.; Kang, K.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,5,5,Northeast,NE,Unspecified,"Clay, Silt",Custom Category,Northeastern Highlands (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-701,Collector identifier,NA,70,Other or unclassified name,NA,NA,1:01 SEP 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:01 SEP 2017,NA
NA,W6,NA,W6,NA,NA,SD,Uniola paniculata,NA,NA,Wild material,NA,NA,9-Oct-17,"United States, Virginia, Virginia Beach","United States, Idaho",100 plants sampled,Wild Habitat,NA,Strophostyles helvola:Ammophila breviligulata:Iva imbricata:Cenchrus tribuloides:Campsis radicans:Schizachyrium littorale,"Sub Unit Description :First Landing State Park/ Geology Description : Beach/ Locality Description: From Visitor Center, walk to beach. Population on dunes.",4.2672,36.92013,-76.05275,"NAD83",Lat/lon determined by GPS,"Dakar, J., Healy, C., Faucette, A.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-15,Undefined,"N, NE, E, SE, S, SW, W, NW",Sand,Sand,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-740,Collector identifier,NA,ALF-613,Other or unclassified name,NA,NA,"2:09 OCT 2017:NCU, US",NA,"A. Faucette, NCBG:In Field:09 OCT 2017",NA
NA,W6,NA,W6,NA,NA,SD,Schoenoplectus americanus,NA,NA,Wild material,NA,inflorescence appears to branch out from the side of a long stem-like bract which rises above it; stem has concave sides with winged edges˚,26-Sep-17,"United States, Massachusetts, Barnstable","United States, Idaho",308 plants sampled,Wild Habitat,Flooded,Bolboschoenus maritimus:Hibiscus moscheutos:Spartina pectinata,Sub Unit Description :Long Pasture Wildlife Sanctuary/ Geology Description : Behind low dunes east of beach boardwalk/ Locality Description: From Boston take 93S to MA3. Follow MA-3 and US-6 to Willow Ave in Yarmouth. Take exit 7 and turn left onto Main St. Turn right onto Bone Hill Rd and the sanctuary is on the left. Walk past visitor center to Salt Marsh boardwalk. Population should be in the back beach to the east of the walk.,2.1336,41.70908,-70.27494,"NAD83",Lat/lon determined by GPS,"Tokarz, E.; Kang, K.","Bureau of Land Management, SOS project",NA,NEWFS,NA,NA,NA,NA,Undefined,NA,Clay,"Silt, Sand",Atlantic Coastal Pine Barrens,Atlantic Coastal Pine Barrens (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEWFS-733,Collector identifier,NA,102,Other or unclassified name,NA,NA,1:26 SEP 2017:Smithsonian,NA,M. Piantedosi - NEWFS:In Field:26 SEP 2017,NA
NA,W6,NA,W6,NA,NA,SD,Iva frutescens,NA,NA,Wild material,NA,NA,10-Oct-17,"United States, Virginia, Northampton","United States, Idaho",75 plants sampled,Wild Habitat,NA,Phragmites australis:Spartina alterniflora:Borrichia frutescens:Spartina patens:Distichlis spicata:Salicornia depressa,"Sub Unit Description :Brownsville Preserve/ Geology Description : Saltmarsh Overlook/ Locality Description: From Visitor's Center turn right onto Brownsville Rd. Make 1st right, right at T, continue along road to saltmarsh overlook. Population at overlook",0.3048,37.45713,-75.82886,"NAD83",Lat/lon determined by GPS,"Dakar, J., Faucette, A., Healy, C.","Bureau of Land Management, SOS project",NA,NCBG,NA,NA,NA,0-2,Undefined,NA,Clay,Other : Silt Loam,Custom Category,Middle Atlantic Coastal Plains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCBG-743,Collector identifier,NA,JD-234,Other or unclassified name,NA,NA,"2:10 OCT 2017:NCU, US",NA,A. Faucette-NCBG:In Field:10 OCT 2017,NA
