Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Achnatherum stillmanii,NA,NA,Wild material,NA,likes to grow under conifer stands in small open areas  Plant has a signature needlegrass look with the bent awn ,08-02-2017,"United States, California, Trinity","United States, Idaho, Ada",535,Wild Habitat,2nd/3rd Succession Forest,Arbutus menziesii:Abies concolor:Pseudotsuga menziesii:Calocedrus decurrens:Rubus ursinus:Acer macrophyllum:Cornus sp.,Sub Unit Description  Shasta Trinity National Forest  Geology Description   Long Canyon Road  Locality Description  From Redding field office take I5 north to 299 west  Take 299W till you reach Weaverville  about 40 miles  From Weaverville  take right onto 3 north  Follow 3 north for about 30 miles then take a right on Long Canyon Road  Population occurs sporadically along sides of road for 2 miles ,1158.24,40.91417,-122.82445,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,5,5,Northeast,NE,Loam,Other : Silt Loam,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,08-15-2017,Smithsonian,Chico State Herbarium,NA,"Lusetta Sims, Botanist Shasta-Trinity NF, Weaverville",In Field
NA,W6,NA,W6,NA,NA,SD,Stipa occidentale spp. Occidentale,NA,NA,Wild material,NA,Likes to grow near in volcanic rock deposits  Has a 90 degree bent awn ,07-27-2017,"United States, California, Siskiyou","United States, Idaho, Ada",600,Wild Habitat,NA,Juniperus occidentalis:Artemisia tridentata:Stipa comata:Stipa thurberiana:Penstemon deustus:Eriogonum umbellatum:Eriogonum luteolum:Bromus tectorum,Sub Unit Description  Klamath National Forest  Geology Description   Pluto s Cave  Locality Description  From Redding field office take I5 north to Weed  Take exit for highway 97  Follow road for about 12 miles to A12 road  Drive about 3 miles  take left for Pluto s Cave  road ends in parking lot  Population is scattered around there ,1009.1928,41.57054,-122.279,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,3,3,West,W,Loamy sand,Other : Loamy sand,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,08-08-2017,Smithsonian,Chico State Herbarium,NA,"Twyla Miller, Botanist Shasta-Trinity NF",In Field
NA,W6,NA,W6,NA,NA,SD,Asclepias fascicularis,NA,NA,Wild material,NA,Flowers white to pink  milky latex when plant is damaged  Plants are growing among tall grasses,08-07-2017,"United States, California, Tehama","United States, Idaho, Ada",308,Wild Habitat,NA,Agrostis gigantea:Avena fatua:Mentha spicata:Quercus douglasii:Centaurea solstitialis,Sub Unit Description  Sacramento River Bend  Geology Description   Bend Ferry Road  Locality Description  From Redding field office  take I5 south take the Jelly s Ferry exit  turn left  Drive for about 5 miles and turn right onto Bend Ferry Road  Follow road through housing community  once you reach the recreational area take second BLM gate on right  Drive through gate and keep left at the fork  Population of milkweed is scattered around vernal pool past the water creek ,122.2248,40.27208,-122.18494,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,5,5,East,E,Silty clay,Other : Silty Clay,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,06-08-2017,Smithsonian,Chico State Herbarium,NA,"Julie Nelson, USDA Forest Service Shasta-Trinity NF",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Nemophila menziesii,NA,NA,Wild material,NA,blue and white petals  some with black brown speckles  lacy leaves  loose cymes,05-09-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",50,Wild Habitat,Trampled:recreation area,Erodium cicutarium:Amsinckia sp.:Delphinium parryi ssp. purpureum:Bromus rubens:Lupinus sp.:Thysanocarpus curvipes,Sub Unit Description  Carrizo Plain National MonumentPlain National Monument  Geology Description   Soda Lake Overlook hill  Locality Description  South side of Soda Lake Rd  on the front of Soda Lake Overlook Hill facing Soda Lake ,590,35.24113,-119.90783,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C., Hernandez, H.., True, C., Hernandez, H., Leonatti, A.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,20,20,Northeast,NE,Clay,"Clay, Silt",Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,03-20-2017,Smithsonian InstituteûRancho Santa Ana Botanic GardenûSanta Barbara Botanic Garden,,NA,"Schneider, HE",In Field
NA,W6,NA,W6,NA,NA,SD,Phacelia ciliata,NA,NA,Wild material,NA,Blue purple flower with coiled cyme,05-09-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",500,Wild Habitat,recreation,Amsinckia sp.:Erodium cicutarium:Hordeum murinum:Atriplex sp.,Sub Unit Description  Carrizo Plain National Monument  Geology Description   Soda Lake Rd   Locality Description  North side of Soda Lake Rd approximately 8 miles south of Hwy  58  near Soda Lake ,588,35.23508,-119.9036,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C., Hernandez, H.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,0,0,Uncertain,NA,Silt,Silt,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,03-20-2017,Smithsonian Institute,Rancho Santa Ana Botanic Garden,NA,"Schneider, HE",In Field
NA,W6,NA,W6,NA,NA,SD,Poa secunda,NA,NA,Wild material,NA,small perennial bunch grass  linear leaves,04-28-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",200,Wild Habitat,NA,Amsinckia sp.:Lomatium sp.:Lasthenia gracilis:Vulpia microstachys:Plagiobothrys sp.:Monolopia lanceolata,Sub Unit Description  Carrizo Plain National Monument  Geology Description   NA  Locality Description  Spur road off of Soda Lake Rd   16 miles of Maricopa and Hwy 166,662,35.08508,-119.68622,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C., Hernandez, H., Hernandez, H.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,10,10,Uncertain,NA,Clay,Clay,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,03-20-2017,Smithsonian InstituteûRancho Santa Ana Botanic GardenûSanta Barbara Botanic Garden,,NA,"True, C.",In Field
NA,W6,NA,W6,NA,NA,SD,Coreopsis calliopsidea,NA,NA,Wild material,NA,yellow ray flowers with dark gold orange disk flowers  Fern like foliage  Triangular deltoid sepals ,04-25-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",300,Wild Habitat,NA,Erodium cicutarium:Amsinckia sp.:Eschscholzia lemmonii ssp. lemmonii:Monolopia lanceolata,Sub Unit Description  Carrizo Plain National Monument  Geology Description   Soda Lake Rd   Locality Description  North side of Soda Lake Road on a hill near the eastern end of the park ,867,35.01244,-119.51697,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C., Hernandez, H.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,50,50,South,S,Clay,Clay,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,03-21-2017,Smithsonian Institute,Rancho Santa Barbara Botanic Garden,NA,"Schneider, HE",In Field
NA,W6,NA,W6,NA,NA,SD,Phacelia ciliata,NA,NA,Wild material,NA,Purple flower with white center  lobed leaves  hairy but not prickly ,05-01-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",200,Wild Habitat,NA,Descurainia pinnata:Erodium cicutarium:Lasthenia gracilis:Amsinckia sp.:Microsteris gracilis,Sub Unit Description  Carrizo Plain National Monument  Geology Description   Elkhorn Plain  Locality Description  South end of Elkhorn Road on the Elkhorn Plain  5 miles SW of Maricopa and Hwy  166,703,35.03111,-119.48377,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,0,0,Uncertain,NA,Loam,Other : polonio loam,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,03-29-2017,Smithsonian InstituteûRancho Santa Ana Botanic GardenûSanta Barbara Botanic Garden,,NA,"Schneider, HE",In Field
NA,W6,NA,W6,NA,NA,SD,Monolopia lanceolata,NA,NA,Wild material,NA,Yellow ray and disk flowers  Rays 3 notched  leaves lanceolate to barely lobed  Hairy stem and leaves ,05-09-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",200,Wild Habitat,NA,Guillenia lasiophylla:Descurainia pinnata:Erodium cicutarium,Sub Unit Description  Carrizo Plain National Monument  Geology Description   Elkhorn Rd  Locality Description  North side of Elkhorn Rd   approximately 9 miles west of jct  Hwy 33 166 and Maricopa  CA,727,35.07744,-119.55913,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,0,0,Uncertain,NA,Sandy loam,Other : sandy loam,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,03-29-2017,Smithsonian InstituteûRancho Santa Ana Botanic GardenûSanta Barbara Botanic Garden,,NA,"True, C.",In Field
NA,W6,NA,W6,NA,NA,SD,Layia platyglossa,NA,NA,Wild material,NA,Yellow ray flowers with white tips  orange disk flowers  glandular  scented stem,05-09-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",300,Wild Habitat,NA,Hordeum sp.:Phacelia ciliata:Lasthenia gracilis:Guillenia lasiophylla:Erodium cicutarium:Erodium cicutarium,Sub Unit Description  Carrizo Plain National Monument  Geology Description   Simmler Rd   Locality Description  Simmler Rd   halfway between Elkhorn Rd  and Soda Lake Rd ,592,35.24186,-119.84947,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,0,0,Uncertain,NA,Unspecified,NA,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,41,Collector identifier,NA,41,Other or unclassified name,NA,NA,03-30-2017,Smithsonian Institute,Rancho Santa Ana Botanic Garden,NA,"Schneider, HE",In Field
NA,W6,NA,W6,NA,NA,SD,Monolopia stricta,NA,NA,Wild material,NA,short  yellow ray flowers with 1 notch at the tip  yellow disk flowers  silver  hairy vegetation,04-28-2017,"United States, California, San Luis Obispo","United States, Idaho, Ada",300,Wild Habitat,NA,Layia platyglossa:Erodium cicutarium:Hordeum sp.,Sub Unit Description  Carrizo Plain National Monument  Geology Description   Simmler Rd   Locality Description  Simmler Road near Soda Lake  hallways between Elkhorn and Soda Lake roads ,589,35.07744,-119.55913,WGS84,Lat/lon determined by GPS,"Schneider, HE., True, C.","Bureau of Land Management, SOS project",NA,CA930D,NA,NA,0,0,Uncertain,NA,Clay loam,Other : silt-clay loam,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,42,Collector identifier,NA,42,Other or unclassified name,NA,NA,03-30-2017,Smithsonian InstituteûRancho Santa Ana Botanic GardenûSanta Barbara Botanic Garden,,NA,"True, C.",In Field
