Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Sporobolus cryptandrus,NA,NA,Wild material,NA,NA,10-02-2018,"United States, Arizona , Santa Cruz","United States, Idaho",80,Wild Habitat,NA,Bouteloua curtipendula:Hilaria belangeri:Prosopis velutina:Isocoma tenuisecta:Yucca baccata:Bouteloua gracilis,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, occuring on ridgelines, hillsides and in lowlands. Occurs in dense patches. Accessible from Tanglehead Lane.",1271.016,31.56347,-110.73619,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Sand,Silt : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-382,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-02-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Bouteloua curtipendula,NA,NA,Wild material,NA,NA,10-02-2018,"United States, Arizona , Santa Cruz","United States, Idaho",485,Wild Habitat,NA,Bouteloua curtipendula:Bouteloua gracilis:Isocoma tenuisecta:Yucca baccata:Panicum obtusum:Hilaria belangeri,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on first and second ridges parallel with highway. Continues throughout property. Accessible from Tanglehead Lane.",1286.256,31.56347,-110.73619,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Zach Farley, Andrew Botz","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Unspecified,Silt : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-383,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-02-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Bouteloua gracilis,NA,NA,Wild material,NA,NA,10-01-2018,"United States, Arizona , Santa Cruz","United States, Idaho",175,Wild Habitat,NA,Bouteloua curtipendula:Isocoma tenuisecta:Kallstroemia grandiflora:Prosopis velutina:Hilaria belangeri,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, occuring on ridgelines, hillsides and in lowlands. Occurs in dense patches. Accessible from Tanglehead Lane.",1286.256,31.56347,-110.73619,NA,Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Zach Farley, Andrew Botz","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Sand,"Silt, Other : Loam",Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-384,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-01-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Bouteloua gracilis,NA,NA,Wild material,NA,NA,10-05-2018,"United States, Arizona , Cochise","United States, Idaho",164,Wild Habitat,Burned:Grazed,Bouteloua curtipendula:Bouteloua hirsuta:Bouteloua eriopoda:Leptochloa dubia:Prosopis velutina,Sub Unit Description :Swisshelm Mountains/ Geology Description : Barboot Ranch/ Locality Description: Permission required to access site. Access gate on west side of Leslie Canyon Road takes you to population near cattle tank and bull pen. 0.25 miles from Leslie Canyon Rd.,1499.3112,31.68277,-109.47597,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,5,0-10,Undefined,NA,Sand,Other : Rocky,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-385,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-05-2018,,,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Bouteloua hirsuta,NA,NA,Wild material,NA,NA,10-02-2018,"United States, Arizona , Santa Cruz","United States, Idaho",73,Wild Habitat,NA,Bouteloua curtipendula:Prosopis velutina:Bouteloua gracilis:Leptochloa dubia:Bouteloua eriopoda:Isocoma tenuisecta,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Smith Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.45 mi from Highway 82, in Smith Canyon. Key access required. Near access road to Smith Canyon.",1306.3728,31.57844,-110.73502,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Travis Gerckens, Andrew Botz, Zach Farley","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Sand,Silt : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-386,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-02-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Pseudognaphalium leucocephalum,NA,NA,Wild material,NA,Flowers white yellow,10-02-2018,"United States, Arizona , Santa Cruz","United States, Idaho",160,Wild Habitat,Flooded,Bouteloua curtipendula:Prosopis velutina:Bouteloua gracilis:Polanisia dodecandra:Kallstroemia grandiflora:Bouteloua eriopoda,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Smith Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.45 mi from Highway 82, in Smith Canyon, in first drainage encountered when accessing from road. Key access required.",1306.3728,31.57844,-110.73502,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Travis Gerckens, Andrew Botz, Zach Farley","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,2.5,0-5,Undefined,NA,Clay,Sand,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-387,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-02-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Kallstroemia grandiflora,NA,NA,Wild material,NA,Flowers orange,10-01-2018,"United States, Arizona , Santa Cruz","United States, Idaho",85,Wild Habitat,NA,Bouteloua curtipendula:Isocoma tenuisecta:Bouteloua gracilis:Prosopis velutina:Yucca baccata:Hilaria belangeri,"Sub Unit Description :Santa Rita Mountains/ Geology Description : Steven's Canyon/ Locality Description: On private land maintained as a wildlife sanctuary. 0.25 miles from Highway 82, on steep south-facing slopes accessible from Tanglehead Lane.",1286.256,31.56347,-110.73619,"NAD83",Lat/lon determined by GPS,"Allegra Mount, Perin McNelis, Aishah Lurry, Alyssa Navarette, Travis Gerckens, Andrew Botz, Zach Farley","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,10,10-May,Undefined,NA,Clay,NA,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-388,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-01-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,In Field
NA,W6,NA,W6,NA,NA,SD,Sporobolus cryptandrus,NA,NA,Wild material,NA,NA,10-03-2018,"United States, Arizona , Santa Cruz","United States, Idaho",75,Wild Habitat,Grazed,Bouteloua curtipendula:Aristida ternipes:Pleuraphis mutica:Panicum obtusum:Eragrostis lehmanniana:Xanthium strumarium,"Sub Unit Description :Las Cienegas National Conservation Area (NCA)/ Geology Description : NA/ Locality Description: Population accessible from main road at south entrance intersection with Hwy 82, near Cienega Creek and on nearby flats and ridgelines.",1423.7208,31.72394,-110.58133,"NAD83",Lat/lon determined by GPS,"Perin McNelis, Travis Gerckens, Andrew Botz, Zach Farley, Alyssa Navarette","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,5,0-10,Undefined,NA,Clay,"Silt, Other : Loam",Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-389,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-03-2018,BLM Arizona, Smithsonian,NA,Perin McNelis,In Field
NA,W6,NA,W6,NA,NA,SD,Aristida adscensionis,NA,NA,Wild material,NA,Annual,10-03-2018,"United States, Arizona , Santa Cruz","United States, Idaho",100,Wild Habitat,Grazed,:Aristida ternipes:Prosopis velutina:Eragrostis lehmanniana:Bouteloua curtipendula:Xanthium strumarium:Panicum obtusum,"Sub Unit Description :Las Cienegas NCA/ Geology Description : NA/ Locality Description: Population accessible from main road at south entrance intersection with Hwy 82, near Cienega Creek and on nearby flats and ridgelines.",1423.7208,31.72394,-110.58133,"NAD83",Lat/lon determined by GPS,"Perin McNelis, Travis Gerckens, Andrew Botz, Zach Farley, Alyssa Navarette","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,5,0-10,Undefined,NA,Clay,"Silt, Other : Loam",Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-391,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-03-2018,BLM Arizona, Smithsonian,NA,Perin McNelis,In Field
NA,W6,NA,W6,NA,NA,SD,Bouteloua curtipendula,NA,NA,Wild material,NA,NA,10-03-2018,"United States, Arizona , Santa Cruz","United States, Idaho",276,Wild Habitat,Grazed,Bouteloua curtipendula:Pleuraphis mutica:Prosopis velutina:Aristida ternipes:Eragrostis lehmanniana:Xanthium strumarium:Panicum obtusum,"Sub Unit Description :Las Cienegas NCA/ Geology Description : NA/ Locality Description: Population accessible from main road at south entrance intersection with Hwy 82, near Cienega Creek and on nearby flats and ridgelines.",1423.7208,31.72394,-110.58133,NA,Lat/lon determined by GPS,"Perin McNelis, Travis Gerckens, Andrew Botz, Zach Farley, Alyssa Navarette","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,5,0-10,Undefined,NA,Unspecified,Silt : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-392,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-03-2018,BLM Arizona, Smithsonian,NA,Allegra Mount,From pressed specimen on day of collection
NA,W6,NA,W6,NA,NA,SD,Sporobolus wrightii,NA,NA,Wild material,NA,NA,10-04-2018,"United States, Arizona , Santa Cruz","United States, Idaho",280,Wild Habitat,Grazed,Bouteloua curtipendula:Prosopis velutina:Aristida ternipes:Panicum obtusum:Eragrostis lehmanniana:Xanthium strumarium,"Sub Unit Description :Las Cienegas NCA/ Geology Description : NA/ Locality Description: Population accessible from main road at south entrance intersection with Hwy 82, near Cienega Creek and on nearby flats and ridgelines.",1394.1552000000001,31.72716,-110.58627,"NAD83",Lat/lon determined by GPS,"Perin McNelis, Travis Gerckens, Andrew Botz, Alyssa Navarette, Zach Farley","Bureau of Land Management, SOS project",NA,AZ930,NA,NA,5,0-10,Undefined,NA,Clay,Sand : Loam,Madrean Archipelago,Madrean Archipelago (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZ930-393,Collector identifier,NA,NA,Other or unclassified name,NA,NA,10-03-2018,BLM Arizona, Smithsonian,NA,Perin McNelis,In Field
