Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,Land Owner,Land Owner Original Value,Land Owner Evaluation Required,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Apocynum androsaemifolium,NA,NA,Wild material,NA,Widely branching  perennial plant with oval leaves and small clusters of pink  bell shaped flowers near the branch tips  The flowers are stripped on the inside with a darker pink  Milky sap exudes from broken stems and leaves ,09-09-2021,"United States, California, Modoc","United States, Idaho, Ada",72,Wild Habitat,Grazed,Poa secunda:Wyethia mollis:Purshia tridentata:Artemisia tridentata:Lomatium triternatum:Iris missouriensis:Asclepias speciosa:Pinus ponderosa,"Sub Unit Description :Surprise Field Station/ Geology Description : Warner Mountains  Fandango Pass/ Locality Description: From Lake City, CA drive 10.7 miles north on CO RD 1. At CO RD 9, take a left onto CO RD 9 and start up Fandango Pass. Drive 1.5 up the road. The site is on both sides of CO RD 9.",1655.6736,41.79781,-120.19646,"NAD83",Lat/lon determined by GPS,Collections: Jennifer Mueller,"Bureau of Land Management, SOS project",NA,CA370,NA,NA,Public,BLM,NA,30,30-May,East,"N, NE, E, SE, S",Sandy loam,Other : Sandy Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA370-281,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Jen Mueller,NA
NA,W6,NA,W6,NA,NA,SD,Asclepias speciosa,NA,NA,Wild material,NA,A hairy erect perennial with large  opposite arranged leaves  Fuzzy star like pink to pinkish purple flowers are arranged in thick umbels  The fruit is large and covered in soft spines ,08-31-2021,"United States, California, Modoc","United States, Idaho, Ada",85,Wild Habitat,Grazed,Poa secunda:Wyethia mollis:Purshia tridentata:Lomatium tracyi:Lomatium triternatum:Iris missouriensis:Apocynum androsaemifolium:Pinus ponderosa:Artemisia tridentata,"Sub Unit Description :Surprise Field Office/ Geology Description : Warner Mountains  Fandango Pass/ Locality Description: From Lake City, CA drive 10.7 miles north on CO RD 1. At CO RD 9, take a left onto CO RD 9 and start up Fandango Pass. Drive 1.7 miles to the gate to Vaughn Canyon. The site is on both sides of CO RD 9.",1624.8888000000002,41.79704,-120.19535,"NAD83",Lat/lon determined by GPS,Collections: Jen Mueller,"Bureau of Land Management, SOS project",NA,CA370,NA,NA,Public,BLM,NA,30,30-May,East,"N, NE, E, SE",Sandy loam,Other : Sandy Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA370-282,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Jen Mueller,NA
NA,W6,NA,W6,NA,NA,SD,Leymus cinereus,NA,NA,Wild material,NA,Large  coarse  perennial bunchgrass  about 3 to 6 feet tall  3 ft in diameter max  Leaf blades are 15 to 25 inches long  and flat  wide up to 3 4 inches  Long ligules  Inflorescence is dense and tall  Seed heads are 6 to 10 inches long  true unbranched spike  2 7 spikelets per node  Spikelets are 9 25 mm long  glumes are awnless  smooth  keeled  lemma tips are acut or minimally awned  anthers are show in Spring early Summer  4 7 mm long ,06-28-2021,"United States, Oregon, Lake","United States, Idaho, Ada",474,Wild Habitat,Grazed,Achnatherum hymenoides:Artemisia tridentata ssp. wyomingensis:Chrysothamnus viscidiflorus ssp. viscidiflorus:Chrysothamnus viscidiflorus:Hesperostipa comata ssp. comata:Tetradymia glabrata:Distichlis spicata:Bromus tectorum:Sarcobatus vermiculatus,"Sub Unit Description :Alkali Valley/ Geology Description : Alkali Buttes/ Locality Description: 65 miles north of Lakeview, OR on route 395. Turn left on Bacon Camp Rd for 4 miles.",1301.2826400000001,43.01649,-120.05084,"NAD83",Lat/lon determined by GPS,"Collections: V. Ruud, K. Antonio","Bureau of Land Management, SOS project",NA,OR010,NA,NA,Public,BLM,NA,3,3,Southwest,SW,Unspecified,"Clay, Silt : Loam",NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,OR010-435,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"V. Ruud, Lakeview BLM; K. Antonio, Lakeview BLM",NA
NA,W6,NA,W6,NA,NA,SD,Achnatherum hymenoides,NA,NA,Wild material,NA,Perennial bunchgrass with narrow  rolled leaf blades  Grows to about 1 5 ft tall  1 foot wide diameter  Inflorescence is open  very airy  branching  spreading panicle with a single flower at the end of each hairlike branch  Lemmas are densely pilose  visible without magnification ,06-29-2021,"United States, Oregon, Lake","United States, Idaho, Ada",250,Wild Habitat,Grazed,Leymus cinereus:Artemisia tridentata ssp. wyomingensis:Chrysothamnus viscidiflorus:Hesperostipa comata ssp. comata:Tetradymia glabrata:Distichlis spicata:Bromus tectorum:Sarcobatus vermiculatus,"Sub Unit Description :Alkali Valley/ Geology Description : Alkali Buttes/ Locality Description: 65 miles North of Lakeview, OR on route 395. Turn left on Bacon Camp Road, heading west for 4 miles.",1302.68472,43.0165,-120.05081,"NAD83",Lat/lon determined by GPS,"Collections: K. Antonio, V. Ruud","Bureau of Land Management, SOS project",NA,OR010,NA,NA,Public,BLM,NA,3,3,Northeast,NE,Silt loam,Clay Silt Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,OR010-436,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"K. Antonio, Lakeview BLM; V. Ruud, Lakeview BLM",NA
NA,W6,NA,W6,NA,NA,SD,Elymus elymoides,NA,NA,Wild material,NA,Perennial bunchgrass  stands about 1 foot tall  leaves are hairy  feel soft   inflorescence is 2 to 3 inches long  the awns turn a golden purple color as seeds start maturing  awn stick out at a perpendicular angle from the stem when mature ,07-06-2021,"United States, Oregon, Lake","United States, Idaho, Ada",60,Wild Habitat,NA,Artemisia tridentata ssp. wyomingensis:Chrysothamnus viscidiflorus:Ericameria nauseosa:Juniperus occidentalis:Bromus tectorum:Lomatium triternatum:Eriogonum crosbyae:Linum lewisii:Centaurea solstitialis,"Sub Unit Description :Oatman Flat/ Geology Description : Oatman West/ Locality Description: From Silver Lake, OR, head north on OR-31 for 9.3 miles. Turn left on the dirt road with Juniper trees off the highway, one Juniper tree is dedicated to Breast Cancer Awareness, the gate to the pasture is on the left.",1325.88,43.23279,-121.14372,"NAD83",Lat/lon determined by GPS,Collections: V. Ruud,"Bureau of Land Management, SOS project",NA,OR010,NA,NA,Public,BLM,NA,3,3,Northeast,NE,Sand,Sand,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,OR010-438,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"V. Ruud, Lakeview BLM; K. Antonio, Lakeview BLM",NA
NA,W6,NA,W6,NA,NA,SD,Pseudoroegneria spicata,NA,NA,Wild material,NA,Bunchgrass  Culms 1 to 2ft tall  Inflorescence is a true spike  Awns recurved to 90 degrees when spikelets have dried  Glumes are as wide and long as other floret structures ,07-14-2021,"United States, Oregon, Lake","United States, Idaho, Ada",726,Wild Habitat,Grazed,Leymus cinereus:Artemisia tridentata ssp. wyomingensis:Erigeron filifolius:Calochortus macrocarpus:Calochortus macrocarpus:Achnatherum hymenoides:Crepis acuminata:Chrysothamnus viscidiflorus:Elymus elymoides:Allium acuminatum:Poa secunda:Camassia quamash:Toxicoscordion venenosum:Achnatherum thurberianum:Bromus tectorum,"Sub Unit Description :Juniper Mountain/ Geology Description : Pasture along Bacon Camp Rd/ Locality Description: From Lakeview, OR, head north on US-395 for 65 miles. Turn right on Bacon Camp Road for 4.3 miles.",1572.4632000000001,42.99655,-119.95555,"NAD83",Lat/lon determined by GPS,Collections: K. Antonio,"Bureau of Land Management, SOS project",NA,OR010,NA,NA,Public,BLM,NA,20,20,Southeast,SE,Silt loam,Clay Silt Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,OR010-439,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"C. Anderson, Lakeview BLM",NA
NA,W6,NA,W6,NA,NA,SD,Purshia tridentata,NA,NA,Wild material,NA,Deciduous shrub growing 2 to 6 feet tall  Leaves are slender  3 to 5 lobed  5 to 20 mm long  waxy green color  Flowers are pale yellow with 5 petals  6 to 8 mm long  and darker yellow anthers  Fruits are clusters of red berries with dry to become slender to bulbous  leathery achenes  0 5 to 2cm long ,07-28-2021,"United States, Oregon, Lake","United States, Idaho, Ada",181,Wild Habitat,Grazed,Artemisia arbuscula:Artemisia tridentata ssp. wyomingensis:Chrysothamnus viscidiflorus:Tetradymia canescens:Juniperus occidentalis:Elymus elymoides:Achnatherum thurberianum:Poa secunda:Poa bulbosa:Bromus tectorum,"Sub Unit Description :Lynch Flynn/ Geology Description : West Pasture/ Locality Description: From Lakeview, OR, head North on US-395 for 5 miles. Turn right on OR-140, heading east for 15.6 miles. Turn left on County Hwy 3-13/Plush Cutoff Rd, heading north for 6.4 miles. Turn left and park on dirt driveway surrounded by Purshia tridentata bushes.",1709.928,42.30089,-120.0545,"NAD83",Lat/lon determined by GPS,"Collections: K. Antonio, V. Ruud","Bureau of Land Management, SOS project",NA,OR010,NA,NA,Public,BLM,NA,5,5,South,"SE, S, SW",Sandy clay loam,Sandy Clay Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,OR010-440,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"K. Antonio, Lakeview BLM; V. Ruud, Lakeview BLM",NA
NA,W6,NA,W6,NA,NA,SD,Amsinckia tessellata,NA,NA,Wild material,NA,Plants densely hairy  flowers yellow with orange spots in throat,05-05-2021,"United States, California, Kern","United States, Idaho, Ada",555,Wild Habitat,Grazed,Astragalus sp.:Erodium cicutarium:Bromus madritensis:Lycium cooperi:Yucca brevifolia:Ericameria sp.:Eriogonum deflexum:Mentzelia affinis:Chamaesyce albomarginata,"Sub Unit Description :Kiavah Wilderness/ Geology Description : NA/ Locality Description: From Inyokern, take HWY 14 South for about 11.3 miles. Take a right onto dirt road going north west and follow for 5.7 miles. Keep left at the fork and continue NW for another 5 miles. Population is off of the road to the north, up slope about 200 ft.",1431.036,35.56989,-118.09801,"NAD83",Lat/lon determined by GPS,"Collections: Mirkes, M; Heine, M; Lisak, A","Bureau of Land Management, SOS project",NA,CA650,NA,NA,Public,BLM,NA,15,15,Southwest,SW,Sand,Sand,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA650-133,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Mirkes, M; Heine, M; Lisak, A",NA
NA,W6,NA,W6,NA,NA,SD,Amaranthus fimbriatus,NA,NA,Wild material,NA,NA,09-22-2021,"United States, Arizona, Mohave","United States, Idaho, Ada",2086,Wild Habitat,Grazed,Yucca baccata:Gutierrezia sarothrae:Pectis papposa:Opuntia basilaris:Cylindropuntia sp.:Acacia greggii:Parkinsonia microphylla,"Sub Unit Description :Kingman Field Office/ Geology Description : NA/ Locality Description: From Kingman, AZ, take Hualapai Mountain Rd (HWY 147) southeast for 4.7 miles. Turn left going north onto dirt road, crossing over cattle guard and past BLM information sign. Continue north on dirt road for 0.3 miles. Population is right off of road to the east",1300.2768,35.16665,-113.95929,"NAD83",Lat/lon determined by GPS,"Collections: Mirkes, M; Heine, M; Lisak, A","Bureau of Land Management, SOS project",NA,MD1,NA,NA,Public,BLM,NA,3,3,Uncertain,"N, NW",Sand,Sand,NA,Mojave Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,MD1-16,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Mirkes, M; Heine, M; Lisak, A",NA
NA,W6,NA,W6,NA,NA,SD,Balsamorhiza sagittata,NA,NA,Wild material,NA,Bright yellow flowers  deep lobes on arrow shaped leaves  no leaves on stalks  two foot long taproot ,06-07-2021,"United States, Oregon, Malheur","United States, Idaho, Ada",200,Wild Habitat,Grazed,Taeniatherum caput-medusae:Artemisia tridentata:Lupinus sp.:Pseudoroegneria spicata:Bromus sp.:Penstemon deustus:Eriogonum ovalifolium:Lewisia rediviva,"Sub Unit Description :North of Jordan Creek Canyon/ Geology Description : Hillside North of Cow Lakes Rd/ Locality Description: From the town Jordan Valley take Hwy 95 for five (5) miles to Danner Rd, then two and a half (2.5) miles till Lower Cow Creek Rd. Population in two (2) miles on North side of road.",1329.2328,43.00425,-117.22718,"NAD83",Lat/lon determined by GPS,Collections: T. Steltz & K. Pollard,"Bureau of Land Management, SOS project",NA,ID130,NA,NA,Public,BLM,NA,30,30,Uncertain,"S, SW",Sandy clay loam,Other : Sandy Clay Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ID130-34,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Jessa Davis, BLM.",NA
NA,W6,NA,W6,NA,NA,SD,Balsamorhiza sagittata,NA,NA,Wild material,NA,Bright yellow flowers  deep lobes on arrow shaped leaves  no leaves on stalks  two foot long tap root ,06-08-2021,"United States, Oregon, Malheur","United States, Idaho, Ada",300,Wild Habitat,Grazed,Taeniatherum caput-medusae:Elymus elymoides:Artemisia tridentata:Lupinus sp.:Pseudoroegneria spicata:Poa secunda:Bromus tectorum:Lactuca serriola:Eriogonum ovalifolium,"Sub Unit Description :Spring Mountian/ Geology Description : Mahogany Gap Road/ Locality Description: From Hwy 95 near Idaho/Oregon border, take Succor Creek Rd. 2.5 miles to Mahogany Gap Rd.; Continue five (5) miles south on Mahogany Gap Rd. to population on west side of road",1465.1736,43.19175,-117.18349,"NAD83",Lat/lon determined by GPS,Collections: T. Steltz & K. Pollard,"Bureau of Land Management, SOS project",NA,ID130,NA,NA,Public,BLM,NA,30,30,Uncertain,"S, SW",Sandy clay,Other : Sandy Clay,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ID130-35,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Jessa Davis, BLM.",NA
NA,W6,NA,W6,NA,NA,SD,Penstemon speciosus,NA,NA,Wild material,NA,Blue to purple flower color  oblong leaves  tall erect talks  1 10 stalks per plant  many seeds per capsule ,06-28-2021,"United States, Oregon, Malheur","United States, Idaho, Ada",550,Wild Habitat,Grazed,Juniperus occidentalis:Artemisia tridentata:Erigeron pumilus:Eriogonum microthecum:Chaenactis douglasii:Pseudoroegneria spicata:Poa secunda:Elymus elymoides:Crepis acuminata:Machaeranthera canescens:Sphaeralcea munroana:Cleome lutea,"Sub Unit Description :Juniper Basin/ Geology Description : East of Selle Gap/ Locality Description: Route 20 crosses through the town Juntura, take Juntura Riverside Road for 8 miles, population mostly between road and Selle Gap, the Northwest section of Juniper Basin.",1649.5776,42.65116,-118.73105,"NAD83",Lat/lon determined by GPS,Collections: T. Steltz & K. Pollard,"Bureau of Land Management, SOS project",NA,ID130,NA,NA,Public,BLM,NA,10,10,East,E,Loamy sand,Other : Loamy Sand,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ID130-36,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Jessa Davis, BLM.",NA
NA,W6,NA,W6,NA,NA,SD,Pseudoroegneria spicata,NA,NA,Wild material,NA,Seeds opposite with little overlap  awns bent 90 degrees  individuals rarely grow on top of each other ,06-30-2021,"United States, Oregon, Malheur","United States, Idaho, Ada",200,Wild Habitat,Grazed,Artemisia tridentata:Bromus sp.:Lupinus sp.:Allium acuminatum:Eriogonum ovalifolium:Cirsium undulatum:Lactuca serriola,"Sub Unit Description :North of Jordan Creek Canyon/ Geology Description : Low hill W NW of road to Cow Lakes/ Locality Description: From Jordan Valley take Hwy 95 to Danner Rd, the Lower Cow Creek Rd. for 3.5 miles. Population on hill, north side of road.",1341.1200000000001,43.01053,-117.25575,"NAD83",Lat/lon determined by GPS,Collections: T. Steltz & K. Pollard,"Bureau of Land Management, SOS project",NA,ID130,NA,NA,Public,BLM,NA,25,25,Southeast,SE,Sandy clay loam,Other : Sandy Clay Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ID130-37,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Jessa Davis, BLM.",NA
NA,W6,NA,W6,NA,NA,SD,Phacelia hastata,NA,NA,Wild material,NA,White flowers on scorpioid stalks  hairs on leaves stalks flowers  parallel venation on leaves ,07-08-2021,"United States, Oregon, Malheur","United States, Idaho, Ada",1000,Wild Habitat,Grazed,Penstemon deustus:Artemisia tridentata:Bromus sp.:Ericameria nauseosa:Sphaeralcea sp.,"Sub Unit Description :North of Jordan Creek Canyon/ Geology Description : Both sides of Road to Cow Lakes/ Locality Description: From the town Jordan Valley take Hwy 95 for five (5) miles to Danner Rd, then two and a half (2.5) miles till Lower Cow Creek Rd. Populations begins in half a mile and continues for seven (7) miles. Populations flourishing on volcanic flows.",1341.1200000000001,42.98796,-117.203,"NAD83",Lat/lon determined by GPS,Collections: T. Steltz & K. Pollard,"Bureau of Land Management, SOS project",NA,ID130,NA,NA,Public,BLM,NA,45,0-90,Southeast,SE,Clay loam,Other : Clay Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ID130-38,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Jessa Davis, BLM.",NA
NA,W6,NA,W6,NA,NA,SD,Hastingsia alba,NA,NA,Wild material,NA,Dense inflorescence  white flowers,07-21-2021,"United States, California, Trinity","United States, Idaho, Ada",1000,Wild Habitat,Trampled:deer/bear habitat,Rubus armeniacus:Juncus effusus var. pacificus:Arbutus menziesii:Rubus laciniatus,"Sub Unit Description :Oregon Mountain/ Geology Description : BLM parcel 9/ Locality Description: Walk up old road bed, in wet meadow ~150 meters north of the road bed",781.5072,40.72593,-122.96563,WGS84,Lat/lon determined by GPS,Collections: Katie Reisinger,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,Public,BLM,NA,10,10,East,E,Loam,Other : Loam,NA,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA360-191,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Katie Reisinger and Brooke Thompson,NA
NA,W6,NA,W6,NA,NA,SD,Cercis occidentalis,NA,NA,Wild material,NA,Green heart shaped leaves  dried seed pods  opposite branching,07-29-2021,"United States, California, Tehama","United States, Idaho, Ada",50,Wild Habitat,NA,Aristolochia californica:Toxicodendron diversilobum:Cephalanthus occidentalis:Fraxinus latifolia:Acer negundo:Quercus lobata,Sub Unit Description :BLM Sacramento River Bend Area/ Geology Description : Paynes Creek Crossing Trailhead/ Locality Description: Bend water users diversion off of Paynes Creek- go until dirt road ends,100.2792,40.28047,-122.16733,WGS84,Lat/lon determined by GPS,"Collections: Katie Reisinger, Brooke Thompson, Steve Laymon","Bureau of Land Management, SOS project",NA,CA360,NA,NA,Public,BLM,NA,5,5,Southeast,SE,Sandy clay loam,Other : Sandy Clay Loam,NA,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA360-192,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Brooke Thompson,NA
NA,W6,NA,W6,NA,NA,SD,Eriogonum nudum var. pubiflorum,NA,NA,Wild material,NA,Basal leaves tomentose abaxially  perianth white yellow,08-02-2021,"United States, California, Trinity","United States, Idaho, Ada",50,Wild Habitat,N/a,Hypericum perforatum:Ceanothus cordulatus:Kelloggia galioides,"Sub Unit Description :Grass Valle Creek/ Geology Description : NA/ Locality Description: 2 miles past first gate off of highway 299, shortly after driving over the bridge",961.9488,40.60351,-122.73575,WGS84,Lat/lon determined by GPS,Collections: Katie Reisinger,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,Public,BLM,NA,30,30,Southwest,SW,Loamy coarse sand,Other : Gravelly Loamy Coarse Sand,NA,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA360-193,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Katie Reisinger,NA
NA,W6,NA,W6,NA,NA,SD,Lagophylla glandulosa,NA,NA,Wild material,NA,Leaves distally glandular  heads in panicle like clusters  toothing in three at end of petal  yellow flowers,08-10-2021,"United States, California, Tehama","United States, Idaho, Ada",200,Wild Habitat,NA,Clarkia purpurea:Avena barbata:Eriogonum nudum var. pubiflorum,"Sub Unit Description :BLM Sacramento River Bend Area/ Geology Description : Paynes Creek Crossing Trailhead/ Locality Description: Paynes Creek Crossing Trailhead, walk up dirt road",112.47120000000001,40.27781,-122.17829,WGS84,Lat/lon determined by GPS,"Collections: Katie Reisinger, Brooke Thompson","Bureau of Land Management, SOS project",NA,CA360,NA,NA,Public,BLM,NA,2,2,Southeast,SE,Loam,Other : Loam,NA,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA360-194,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Brooke Thompson,NA
NA,W6,NA,W6,NA,NA,SD,Madia elegans,NA,NA,Wild material,NA,Distally glandular hairs  sticky to the touch  black glands  yellow showy flat flowers,08-23-2021,"United States, California, Shasta","United States, Idaho, Ada",100,Wild Habitat,N/a,Centaurea solstitialis:Salix lasiolepis:Juglans regia,Sub Unit Description :Rancho Breisgau/ Geology Description : along road/ Locality Description: Along the road near turn off to pond,158.1912,40.39166,-122.18919,WGS84,Lat/lon determined by GPS,Collections: Katie Reisinger,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,Public,BLM,NA,0,0,Uncertain,NA,Sandy loam,Other : Sandy Loam,NA,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA360-195,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Katie Reisinger,NA
NA,W6,NA,W6,NA,NA,SD,Balsamorhiza sagittata,NA,NA,Wild material,NA,Plants have large arrow shaped leaves that persist as seed develops  and yellow ray and disc flowers that appear as small sunflowers ,06-14-2021,"United States, California, Lassen","United States, Idaho, Ada",788,Wild Habitat,Grazed,Artemisia tridentata:Tetradymia spinosa:Ericameria nauseosa:Chrysothamnus viscidiflorus:Lupinus argenteus:Lupinus nevadensis:Elymus elymoides:Purshia tridentata:Penstemon roezlii:Penstemon speciosus:Erysimum capitatum:Eriogonum douglasii var. meridionale:Scrophularia desertorum:Juniperus occidentalis,"Sub Unit Description :NA/ Geology Description : Horn Road/ Locality Description: From 395 in Ravendale, turn East on Mail Route Road, then turn East on Horn Road for 8.4 miles, park at a pullout under the large juniper for shade. Collected from road to hillside for several hundred feet along the road.",1652.016,40.83031,-120.14818,WGS84,Lat/lon determined by GPS,"Collections: Arnold, A.; Herrarte, Y","Bureau of Land Management, SOS project",NA,CA350,NA,NA,Public,BLM,NA,7,7-Jan,Northwest,NW,Loamy sand,Loamy Sand,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA350-107,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,"Valda Lockie, Susanville BLM Ecologist",NA
NA,W6,NA,W6,NA,NA,SD,Lomatium triternatum,NA,NA,Wild material,NA,Linear to lance ovate leaflets  ovary and fruit densely puberulent  Leaves become dry and yellowed by time of collection  but remain distinct from other local species of Lomatium ,06-21-2021,"United States, California, Lassen","United States, Idaho, Ada",723,Wild Habitat,Grazed,Artemisia tridentata:Pseudoroegneria spicata:Perideridia bolanderi:Penstemon roezlii:Penstemon speciosus:Balsamorhiza hookeri:Purshia tridentata:Ephedra viridis:Cryptantha intermedia:Amsinckia tessellata:Amsinckia menziesii var. intermedia:Chenopodium pratericola:Astragalus andersonii:Astragalus lentiginosus:Taeniatherum caput-medusae,"Sub Unit Description :Skedaddle Ranch Road/ Geology Description : NA/ Locality Description: From Smoke Creek Road 338, head southeast for 11.9 miles, turn south onto Skedaddle Ranch Road and continue for 2.6 miles. Pull off and collect on both sides of the road (up to 200 feet off road), on hillslope and rocky flats.",1501.4448,40.4594,-120.06902,WGS84,Lat/lon determined by GPS,"Collections: Arnold, A.; Herrarte, Y.","Bureau of Land Management, SOS project",NA,CA350,NA,NA,Public,BLM,NA,1.5,0-3,Uncertain,NA,Sandy loam,Sandy Loam,NA,Northwestern Basin and Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CA350-108,Collector identifier,NA,,Other or unclassified name,NA,NA,NA,NA,,NA,Eagle Lake SOS Crew,NA
